title;'Prévia do PIB' (IBC-Br)
subtit;Variação anual do índice de Atividade Econômica do BC, em %
dfont;BCB-Depec
vtype;rvalue
decimal;2
group;name
blk_dx;80
blk_dx_inb;74
quant;11
show_perc;1
show_perc_inb;0
;
data;begin
x;y
2004;6.13
2005;3.37
2006;4.46
2007;6.24
2008;4.31
2009;-1.71
2010;8.58
2011;3.17
2012;0.9
2013;2.91
2014;-0.26
2015;-4.33
2016;-4.09
2017;0.84
2018;1.32
2019;1.05
2020;-4.05
2021;4.50
