title; Inadimplência
subtit; 
dfont;CNC
vtype;rvalue
show_perc;1
decimal;1
blk_dx;80
yref;50
ylines;0
period;month
;
;
;
;
;
;
data;begin
x;y
03/2021;67.3
04/2021;67.5
05/2021;68
06/2021;69.7
07/2021;71.4
08/2021;72.9
09/2021;74
10/2021;74.6
11/2021;75.6
12/2021;76.3
01/2022;76.1
02/2022;76.6
03/2022;77.5

