title;Projeções para crescimento dos países em 2022
subtit;Relatório de Abril/22 ({quantity} países)
dfont;FMI
decimal;1
group;name
blk_dx;80
type;rankI
;
;
;
;
;
;
data;begin
x;y
Albania;2
Algeria;2.441
Andorra;4.5
Angola;2.999
Argentina;4
Armenia;1.527
Aruba;2.68
Australia;4.161
Austria;2.581
Azerbaijan;2.846
The Bahamas;5.999
Bahrain;3.291
Bangladesh;6.415
Belarus;-6.391
Belgium;2.081
Belize;5.7
Benin;5.94
Bhutan;4.385
Bolivia;3.8
Bosnia and Herzegovina;2.45
Botswana;4.305
Brazil;0.806
Brunei Darussalam;5.83
Bulgaria;3.2
Burkina Faso;4.724
Cabo Verde;5.204
Cambodia;5.098
Cameroon;4.265
Canada;3.923
Chile;1.525
China;4.373
Colombia;5.8
Democratic Republic of the Congo;6.429
Costa Rica;3.34
Croatia;2.7
Cyprus;2.144
Czech Republic;2.283
Denmark;2.3
Dominican Republic;5.475
Ecuador;2.857
Egypt;5.892
El Salvador;3
Equatorial Guinea;6.127
Estonia;0.2
Eswatini;2.065
Ethiopia;3.84
Fiji;6.794
Finland;1.608
France;2.94
Gabon;2.736
The Gambia;5.604
Georgia;3.201
Germany;2.101
Greece;3.533
Grenada;3.61
Guatemala;3.954
Guyana;47.219
Haiti;0.3
Honduras;3.8
Hong Kong;0.463
Hungary;3.73
Iceland;3.254
India;8.153
Indonesia;5.409
Islamic Republic of Iran;3.041
Iraq;9.525
Ireland;5.2
Israel;4.962
Italy;2.274
Jamaica;2.468
Japan;2.392
Jordan;2.4
Kazakhstan;2.32
Kenya;5.656
Kiribati;1.058
south korea;2.541
Kosovo;2.8
Kuwait;8.228
Kyrgyz Republic;0.863
Lao P.D.R.;3.2
Latvia;1.003
Lesotho;3.07
Libya;3.482
Lithuania;1.843
Luxembourg;1.771
Macau;15.53
Malawi;2.694
Malaysia;5.606
Maldives;6.1
Malta;4.792
Marshall Islands;2
Mauritania;4.965
Mauritius;6.149
Mexico;2.003
Moldova;0.3
Mongolia;2
Montenegro;3.8
Morocco;1.102
Mozambique;3.829
Myanmar;1.614
Namibia;2.778
Nepal;4.135
Netherlands;2.971
New Zealand;2.721
Nicaragua;3.8
Niger;6.938
Nigeria;3.428
North Macedonia;3.2
Norway;3.993
Oman;5.592
Pakistan;3.955
Palau;8.13
Panama;7.516
Papua New Guinea;4.771
Paraguay;0.3
Peru;2.955
Philippines;6.451
Poland;3.7
Portugal;4
Puerto Rico;4.8
Qatar;3.425
Romania;2.201
Russia;-8.524
Samoa;0.005
San Marino;1.349
São Tomé and Príncipe;1.625
Saudi Arabia;7.602
Serbia;3.538
Seychelles;4.642
Sierra Leone;3.447
Singapore;3.951
Slovak Republic;2.6
Slovenia;3.702
Somalia;3
South Africa;1.936
Spain;4.833
Sri Lanka;2.573
saint kitts and nevis;10.004
saint lucia;9.659
St. Vincent and the Grenadines;5
Suriname;1.828
Sweden;2.947
Switzerland;2.2
Taiwan Province of China;3.246
Tajikistan;2.5
Tanzania;4.845
Thailand;3.334
Togo;5.6
Tonga;-1.65
Trinidad and Tobago;5.457
Tunisia;2.242
Turkey;2.696
Turkmenistan;1.566
Uganda;4.869
Ukraine;-35
United Arab Emirates;4.244
United Kingdom;3.749
United States;3.708
Uruguay;3.876
Uzbekistan;3.396
Vietnam;6.047
West Bank and Gaza;4
Yemen;1
Zambia;3.139
