title;IMAS
subtit;Índice de mercado dos títulos públicos atrelados a Selic
dfont;ANBIMA
vtype;perc
decimal;2
mult;1
divshow;1
group;1
yref;0
blk_dx;80
period;month
date_type;dd_mm_yyyy
;
;
;
;
;
data;begin
x;y
17/03/2005;993.515674
18/03/2005;994.243202
21/03/2005;994.973595
22/03/2005;995.70891
23/03/2005;996.424617
24/03/2005;997.144168
28/03/2005;997.859297
29/03/2005;998.581067
30/03/2005;999.296626
31/03/2005;1000.0
01/04/2005;1000.733016
04/04/2005;1001.437268
05/04/2005;1002.150224
06/04/2005;1002.858268
07/04/2005;1003.573599
08/04/2005;1004.29413
11/04/2005;1005.006142
12/04/2005;1005.72514
13/04/2005;1006.43821
14/04/2005;1007.155195
15/04/2005;1007.874139
18/04/2005;1008.582366
19/04/2005;1009.297339
20/04/2005;1010.000864
22/04/2005;1010.718399
25/04/2005;1011.448206
26/04/2005;1012.171714
27/04/2005;1012.889304
28/04/2005;1013.612454
29/04/2005;1014.33774
02/05/2005;1015.064809
03/05/2005;1015.781532
04/05/2005;1016.516166
05/05/2005;1017.235947
06/05/2005;1017.966622
09/05/2005;1018.698836
10/05/2005;1019.433413
11/05/2005;1020.167797
12/05/2005;1020.903265
13/05/2005;1021.637012
16/05/2005;1022.360811
17/05/2005;1023.099179
18/05/2005;1023.832865
19/05/2005;1024.578329
20/05/2005;1025.318006
23/05/2005;1026.059684
24/05/2005;1026.801872
25/05/2005;1027.54005
27/05/2005;1028.284282
30/05/2005;1029.024378
31/05/2005;1029.769031
01/06/2005;1030.524194
02/06/2005;1031.276609
03/06/2005;1032.032493
06/06/2005;1032.777997
07/06/2005;1033.523624
08/06/2005;1034.286599
09/06/2005;1035.016555
10/06/2005;1035.754892
13/06/2005;1036.515863
14/06/2005;1037.272927
15/06/2005;1038.043947
16/06/2005;1038.801622
17/06/2005;1039.576622
20/06/2005;1040.32172
21/06/2005;1041.071833
22/06/2005;1041.842616
23/06/2005;1042.59177
24/06/2005;1043.360308
27/06/2005;1044.120266
28/06/2005;1044.878364
29/06/2005;1045.677002
30/06/2005;1046.441984
01/07/2005;1047.204177
04/07/2005;1047.971485
05/07/2005;1048.750752
06/07/2005;1049.518943
07/07/2005;1050.306758
08/07/2005;1051.078471
11/07/2005;1051.856498
12/07/2005;1052.621074
13/07/2005;1053.394067
14/07/2005;1054.165427
15/07/2005;1054.92966
18/07/2005;1055.692584
19/07/2005;1056.471851
20/07/2005;1057.234283
21/07/2005;1057.985058
22/07/2005;1058.735523
25/07/2005;1059.49488
26/07/2005;1060.239562
27/07/2005;1060.982182
28/07/2005;1061.717458
29/07/2005;1062.456485
01/08/2005;1063.192699
02/08/2005;1063.946133
03/08/2005;1064.691228
04/08/2005;1065.453824
05/08/2005;1066.973064
08/08/2005;1066.973064
09/08/2005;1067.735086
10/08/2005;1068.502553
11/08/2005;1069.258018
12/08/2005;1070.004849
15/08/2005;1070.771303
16/08/2005;1071.540762
17/08/2005;1072.309006
18/08/2005;1073.070586
19/08/2005;1073.82556
22/08/2005;1074.585286
23/08/2005;1075.320638
24/08/2005;1076.093471
25/08/2005;1076.86459
26/08/2005;1077.65482
29/08/2005;1078.427489
30/08/2005;1079.204128
31/08/2005;1079.972362
01/09/2005;1080.756977
02/09/2005;1081.540788
05/09/2005;1082.317898
06/09/2005;1083.10407
08/09/2005;1083.886225
09/09/2005;1084.662754
12/09/2005;1085.48641
13/09/2005;1086.313407
14/09/2005;1087.089587
15/09/2005;1087.925532
16/09/2005;1088.711277
19/09/2005;1089.486995
20/09/2005;1090.258332
21/09/2005;1091.050026
22/09/2005;1091.827563
23/09/2005;1092.631362
26/09/2005;1093.425689
27/09/2005;1094.221477
28/09/2005;1095.003177
29/09/2005;1095.806793
30/09/2005;1096.615738
03/10/2005;1097.417347
04/10/2005;1098.216258
05/10/2005;1099.004286
06/10/2005;1099.789361
07/10/2005;1100.581949
10/10/2005;1101.37099
11/10/2005;1102.16335
13/10/2005;1102.95893
14/10/2005;1103.76697
17/10/2005;1104.566276
18/10/2005;1105.363017
19/10/2005;1106.163818
20/10/2005;1106.934102
21/10/2005;1107.719718
24/10/2005;1108.486787
25/10/2005;1109.247462
26/10/2005;1110.021386
27/10/2005;1110.810382
28/10/2005;1111.586529
31/10/2005;1112.378925
01/11/2005;1113.186358
03/11/2005;1114.05266
04/11/2005;1114.847923
07/11/2005;1115.665447
08/11/2005;1116.553057
09/11/2005;1117.459966
10/11/2005;1118.287885
