title;Fluxo de Capital Estrangeiro
subtit;em Bilhões de R$
dfont;B3
vtype;rvalue
decimal;1
group;name
blk_dx;76
blk_dx_inb;74
;
;
;
data;begin
x;y
2008;-8.6
2009;50.7
2010;46.4
2011;8.5
2012;6.6
2013;21.7
2014;25.9
2015;28.4
2016;19.2
2017;35.8
2018;-5.7
2019;-4.7
2020;7.4
2021;102.3
2022;90
