title;Premiação Big Brother Brasil
subtit;Prêmios em cada ano, corrigidos pela inflação
dfont;BBB
vtype;ipca
decimal;1
mult;1
divshow;1000000
ylines;500000,1000000,1500000,2000000,2500000,3000000
quant;21
xformat;year
blk_dx;55
blk_dx_in;50
blk_dx_inb;45
blk_w;40
blk_w_in;35
blk_w_inb;30
bar_val_fs_jp;20
bar_val_fs_in;16
bar_val_fs_inb;18
;
type;barV
;
data;begin
x;y;v2
04/2002;500000;500000
04/2003;500000;500000
04/2004;500000;500000
04/2005;1000000;1000000
04/2006;1000000;1000000
04/2007;1000000;1000000
04/2008;1000000;1000000
04/2009;1000000;1000000
04/2010;1500000;1500000
04/2011;1500000;1500000
04/2012;1500000;1500000
04/2013;1500000;1500000
04/2014;1500000;1500000
04/2015;1500000;1500000
04/2016;1500000;1500000
04/2017;1500000;1500000
04/2018;1500000;1500000
04/2019;1500000;1500000
04/2020;1500000;1500000
04/2021;1500000;1500000
03/2022;1500000;1500000
