title;IGP-M   Preços do Mercado
subtit;Variação sobre o mês anterior, em %
dfont;FGV
vtype;perc
;
decimal;2
blk_dx;74
blk_dx_inb;74
;
date_type;mm_yyyy
;
data;begin
x;y
02/2017;666.099
03/2017;666.197
04/2017;658.898
05/2017;652.758
06/2017;648.409
07/2017;643.766
08/2017;644.383
09/2017;647.4
10/2017;648.672
11/2017;652.073
12/2017;657.859
01/2018;662.826
02/2018;663.311
03/2018;667.524
04/2018;671.327
05/2018;680.579
06/2018;693.287
07/2018;696.8
08/2018;701.677
09/2018;712.373
10/2018;718.684
11/2018;715.166
12/2018;707.441
01/2019;707.488
02/2019;713.747
03/2019;722.707
04/2019;729.346
05/2019;732.595
06/2019;738.421
07/2019;741.346
08/2019;736.402
09/2019;736.362
10/2019;741.333
11/2019;743.558
12/2019;759.112
01/2020;762.733
02/2020;762.423
03/2020;771.908
04/2020;778.101
05/2020;780.28
06/2020;792.429
07/2020;810.083
08/2020;832.313
09/2020;868.442
10/2020;896.505
11/2020;925.887
12/2020;934.758
01/2021;958.844
02/2021;983.063
03/2021;1011.948
04/2021;1027.211
05/2021;1069.289
06/2021;1075.733
07/2021;1084.095
08/2021;1091.29
09/2021;1084.312
10/2021;1091.283
11/2021;1091.483
12/2021;1100.988
01/2022;1120.999
02/2022;1141.546
03/2022;1161.418
04/2022;1177.809
05/2022;1183.953
06/2022;1190.882
07/2022;1193.337
08/2022;1185.004
09/2022;1173.793
01/2023;1163.465
