title;Índice de Aluguéis Residenciais (IVAR)
subtit;Variação sobre o mês anterior, em %
dfont;FGV
vtype;perc
decimal;2
mult;1
divshow;1
group;1
yref;0
ylines;
blk_dx;80
blk_dx_inb;74
period;month
;
;
;
data;begin
x;y
12/2018;100.000
01/2019;99.852
02/2019;100.043
03/2019;99.705
04/2019;99.062
05/2019;99.063
06/2019;99.901
07/2019;101.081
08/2019;101.345
09/2019;100.532
10/2019;98.767
11/2019;96.188
12/2019;94.923
01/2020;95.200
02/2020;97.868
03/2020;96.872
04/2020;95.773
05/2020;92.858
06/2020;93.638
07/2020;93.424
08/2020;93.524
09/2020;93.339
10/2020;95.529
11/2020;96.874
12/2020;98.799
01/2021;98.813
02/2021;98.265
03/2021;97.686
04/2021;96.663
05/2021;96.703
06/2021;97.103
07/2021;97.585
08/2021;97.717
09/2021;96.858
10/2021;96.790
11/2021;97.552
12/2021;98.196
01/2022;100.025
02/2022;102.946
03/2022;103.783
04/2022;104.630
