date,dayup,nindex,valor
11/2007,27,368.334,0.6943798969
12/2007,27,374.815,1.7595443266
01/2008,27,378.900,1.0898710030
02/2008,27,380.906,0.5294272895
03/2008,27,383.731,0.7416527962
04/2008,27,386.380,0.6903273387
05/2008,27,392.592,1.6077436720
06/2008,27,400.382,1.9842482781
07/2008,27,407.446,1.7643150791
08/2008,27,406.127,-0.3237238800
09/2008,27,406.557,0.1058782105
10/2008,27,410.524,0.9757549372
11/2008,27,412.104,0.3848739660
12/2008,27,411.575,-0.1283656553
01/2009,27,409.782,-0.4356435644
02/2009,27,410.849,0.2603823496
03/2009,27,407.808,-0.7401746140
04/2009,27,407.181,-0.1537488230
05/2009,27,406.885,-0.0726949440
06/2009,27,406.486,-0.0980621060
07/2009,27,404.718,-0.4349473291
08/2009,27,403.253,-0.3619804407
09/2009,27,404.945,0.4195877030
10/2009,27,405.129,0.0454382694
11/2009,27,405.548,0.1034238477
12/2009,27,404.499,-0.2586623532
01/2010,27,407.049,0.6304094695
02/2010,27,411.843,1.1777451855
03/2010,27,415.734,0.9447775002
04/2010,27,418.917,0.7656337947
05/2010,27,423.885,1.1859151097
06/2010,27,427.489,0.8502306050
07/2010,27,428.150,0.1546238617
08/2010,27,431.445,0.7695900969
09/2010,27,436.423,1.1537971236
10/2010,27,440.829,1.0095709896
11/2010,27,447.206,1.4465926697
12/2010,27,450.301,0.6920747933
01/2011,27,453.875,0.7936913309
02/2011,27,458.397,0.9963095566
03/2011,27,461.249,0.6221681206
04/2011,27,463.311,0.4470470397
05/2011,27,465.311,0.4316754836
06/2011,27,464.463,-0.1822437037
07/2011,27,463.927,-0.1154020880
08/2011,27,465.968,0.4399399043
09/2011,27,468.975,0.6453232840
10/2011,27,471.466,0.5311583773
11/2011,27,473.808,0.4967484400
12/2011,27,473.252,-0.1173471111
01/2012,27,474.429,0.2487047070
02/2012,27,474.138,-0.0613368913
03/2012,27,476.166,0.4277235741
04/2012,27,480.229,0.8532738583
05/2012,27,485.140,1.0226371169
06/2012,27,488.342,0.6600156656
07/2012,27,494.891,1.3410683496
08/2012,27,501.957,1.4277891495
09/2012,27,506.804,0.9656205611
10/2012,27,506.926,0.0240724225
11/2012,27,506.795,-0.0258420361
12/2012,27,510.252,0.6821298553
01/2013,27,511.977,0.3380682486
02/2013,27,513.467,0.2910286986
03/2013,27,514.526,0.2062449972
04/2013,27,515.276,0.1457652286
05/2013,27,515.299,0.0044636273
06/2013,27,519.153,0.7479152880
07/2013,27,520.508,0.2610020553
08/2013,27,521.270,0.1463954445
09/2013,27,529.085,1.4992230514
10/2013,27,533.621,0.8573291626
11/2013,27,535.168,0.2899061319
12/2013,27,538.370,0.5983167902
01/2014,27,540.959,0.4808960380
02/2014,27,543.038,0.3843174806
03/2014,27,552.087,1.6663658897
04/2014,27,556.420,0.7848400705
05/2014,27,555.679,-0.1331727831
06/2014,27,551.554,-0.7423350532
07/2014,27,548.202,-0.6077374110
08/2014,27,546.745,-0.2657779432
09/2014,27,547.839,0.2000932793
10/2014,27,549.396,0.2842075865
