,total,reg1,reg2,reg3,reg4,reg5,reg9,setA,setE,setF,setG,setU,setZ,sex1,sex3,sex9,cor1,cor2,cor3,cor4,cor5,cor6,cor9,edu1,edu2,edu3,edu4,edu5,edu6,edu7,edu8,edu9,edu10,edu11,edu80,edu99
2020-01-01,111973,2810,-3386,32202,60162,20172,13,16487,58265,35868,-51724,53077,0,88366,23607,0,29031,6811,26852,384,1493,56353,-8951,-244,-112,770,9218,9543,10530,60075,4378,17027,-5,-173,973,-7
2020-02-01,217235,10790,2211,107437,70375,26429,-7,3668,39977,25990,9056,138545,-1,109297,107938,0,72494,12127,60311,24,1657,81271,-10649,-2399,-7444,-2668,7159,12277,18466,131373,7773,42213,4415,1504,4575,-9
2020-03-01,-294950,-7538,-69970,-159653,-40216,-17569,-4,-8517,-42788,-17642,-89218,-136785,0,-153216,-141734,0,-133727,-19191,-107355,-1934,-2428,-15963,-14352,-3535,-16324,-11285,-17993,-33462,-27789,-181225,-8481,1278,1377,316,2178,-5
2020-04-01,-981799,-32796,-153287,-505531,-225073,-65112,0,-6836,-217738,-75304,-265611,-416310,0,-550824,-430975,0,-444009,-57507,-322588,-4657,-2496,-143246,-7296,-2963,-22124,-18816,-54723,-90310,-86682,-601349,-40329,-60781,-541,-211,-2969,-1
2020-05-01,-398262,-12751,-63984,-211134,-91230,-19232,69,14791,-107813,-23952,-106404,-174883,-1,-224173,-174089,0,-208355,-22295,-117730,-2543,-1075,-41466,-4798,-192,-6766,-7588,-27334,-44214,-41862,-219079,-17360,-30842,-568,-167,-2286,-4
2020-06-01,-53570,5511,-10170,-47032,-6763,4748,136,37708,-8932,15564,-27555,-70355,0,6786,-60356,0,-66918,-991,981,-920,-265,18928,-4385,1172,4856,528,-4561,-11474,-12987,-9124,-2410,-13879,-2547,-1145,-1991,-8
2020-07-01,108580,15766,20189,33696,25936,12991,2,22424,49451,40724,20810,-24829,0,108743,-163,0,-1553,8465,52099,-442,-386,55538,-5141,1700,5419,-261,5296,5454,3187,100409,5168,-11296,-2932,-934,-2627,-3
2020-08-01,214615,22835,55761,86385,36659,12967,8,8027,90202,50522,43713,22151,0,174022,40593,0,38637,13519,91486,359,221,76238,-5845,2729,5984,804,4455,8663,11572,165408,11351,1851,586,359,855,-2
2020-09-01,299380,21805,86297,118151,58124,14993,10,5320,111315,47379,66423,68943,0,213417,85963,0,64882,19604,128813,909,209,91703,-6740,4965,13094,2711,6174,11247,19848,212113,15883,12032,275,69,970,-1
2020-10-01,366042,20816,64640,173164,86098,21160,164,-4501,84139,35040,110633,140731,0,216855,149187,0,96274,23299,131646,1419,543,120973,-8112,888,116,-798,5238,13623,28485,282197,19429,14883,393,112,1479,-3
2020-11-01,376149,14543,65203,198097,85116,13023,167,-21819,46224,16056,176935,158753,0,166503,209646,0,109448,26154,128453,1802,146,117880,-7734,307,-4781,-4559,-876,7985,25733,313266,20261,17332,106,67,1312,-4
2020-12-01,-157491,-11431,-13144,-79965,-35983,-17176,208,-30179,-51120,-52764,46850,-70278,0,-122045,-35446,0,-110910,-3374,-52008,-1108,-806,17720,-7005,-1860,-14317,-11612,-22708,-27319,-20860,1354,45,-47412,-4936,-1741,-6122,-3
2021-01-01,254324,8258,27276,98666,82094,37144,886,36495,91013,44307,10110,72399,0,166860,87464,0,73981,12741,60421,610,2846,112611,-8886,225,1428,4874,14183,20741,19275,159784,12354,20556,-375,-332,1621,-10
2021-02-01,396023,13547,37316,201766,101072,41452,870,24698,93521,45078,67269,165457,0,219606,176417,0,118584,24422,114197,725,387,147089,-9381,-423,-1692,1680,14626,29301,36105,256131,13187,40234,2228,894,3754,-2
2021-03-01,151835,9293,-1609,88857,41054,13566,674,2973,37407,24298,6149,81008,0,91781,60054,0,23286,10606,38009,231,-803,89116,-8610,-1462,-7031,-6427,-778,976,9708,107977,8826,33406,1435,459,4750,-4
2021-04-01,88326,9743,13225,32225,15271,17197,665,10376,14840,22542,1377,39191,0,62132,26194,0,-9757,4692,36665,-26,-1270,64604,-6582,-552,-2231,-2905,-4838,-4212,1973,67705,7855,21524,765,276,2966,0
2021-05-01,264813,18390,35305,149294,34295,26648,881,37886,42493,21982,58813,103640,-1,144789,120024,0,56434,15632,91013,635,-21,106687,-5567,2703,9690,7015,4523,8573,16945,171681,14764,25405,516,340,2661,-3
2021-06-01,313127,24154,48875,159851,42300,36916,1031,38313,51100,23931,75980,123803,0,173662,139465,0,68186,13862,108940,894,16,125311,-4082,1706,7859,4045,6414,14388,22531,218871,14926,21457,-531,-296,1758,-1
2021-07-01,302623,23516,52227,151951,40942,33356,631,25042,57931,30098,74614,114939,-1,173763,128860,0,61168,13245,106337,975,444,126413,-5959,1157,4999,1557,8225,13399,28880,222311,13529,12055,-1988,-744,-754,-3
2021-08-01,382063,22016,84860,187924,55486,31141,636,10098,73436,35429,80943,182158,-1,204197,177866,0,93177,18401,130735,1844,386,141887,-4367,2514,7630,1408,9526,15608,37430,252357,16022,30529,2763,1039,5239,-2
2021-09-01,324531,17485,94159,142300,47980,21605,1002,10637,76525,26817,64172,146380,0,179943,144588,0,62828,13311,121464,992,415,129880,-4359,5109,13650,3006,10477,11292,32336,209763,13609,21091,903,289,3007,-1
2021-10-01,247531,9074,50699,117389,52290,17080,999,-6456,26129,16131,69605,142124,-2,100992,146539,0,44918,12419,75477,596,641,116920,-3440,712,-1575,-2002,5295,5339,26697,183369,11792,15340,569,95,1904,-4
2021-11-01,304246,16541,54291,169130,51029,12871,384,-19772,5638,9403,136947,172030,0,111600,192646,0,64233,20361,98224,1462,102,123446,-3582,188,-3670,-4224,-1108,3968,22607,252491,15381,16489,313,88,1725,-2
2021-12-01,-281792,-14106,-17752,-145368,-82130,-22345,-91,-27344,-93582,-54007,6523,-113381,-1,-173714,-108078,0,-165858,-13233,-91044,-1576,-1067,-7599,-1415,-1472,-14393,-11523,-24032,-33599,-23597,-85332,-9794,-64150,-4790,-2014,-7096,0
2022-01-01,155178,2434,5388,52651,58773,33859,2073,25014,51419,36809,-60088,102026,-2,109265,45913,0,22509,6288,29330,295,3050,95176,-1470,393,1025,3097,11001,12438,8710,89609,2840,22921,275,-51,2920,0
