x;y
DEZ/21;3.9
JAN/22;-7.3
FEV/22;-5.7
MAR/22;-4.4
ABR/22;-3.4
MAI/22;-2.6
JUN/22;-2.2
JUL/22;-1.9
AGO/22;-1.3
SET/22;-1.1
OUT/22;-0.8
NOV/22;-0.6
DEZ/22;-0.7
