x;y
JUL/21;59.54
AGO/21;59.0
SET/21;58.05
OUT/21;57.16
NOV/21;57.03
DEZ/21;57.23
JAN/22;56.87
FEV/22;57.47
MAR/22;58.65
ABR/22;58.33
MAI/22;58.77
JUN/22;57.82
JUL/22;57.34
