x;y
AGO/21;3058029
SET/21;3088265
OUT/21;2973450
NOV/21;2909103
DEZ/21;2776325
JAN/22;2680333
FEV/22;2624344
MAR/22;2565222
ABR/22;2676631
MAI/22;2687386
JUN/22;2650411
JUL/22;2565290
AGO/22;2455662
