x;y
ABR/21;7.59
MAI/21;8.9
JUN/21;9.22
JUL/21;9.85
AGO/21;10.42
SET/21;10.78
OUT/21;11.08
NOV/21;10.96
DEZ/21;10.16
JAN/22;10.6
FEV/22;10.8
MAR/22;11.73
ABR/22;12.47
