x;y
DEZ/21;-1.8
JAN/22;1.9
FEV/22;1.0
MAR/22;1.1
ABR/22;0.5
MAI/22;0.4
JUN/22;-1.9
JUL/22;-0.6
AGO/22;0.1
SET/22;1.0
OUT/22;0.1
NOV/22;-0.9
DEZ/22;-2.6
