x;y
MAI/94;44.03
MAI/95;2.67
MAI/96;1.22
MAI/97;0.41
MAI/98;0.5
MAI/99;0.3
MAI/00;0.01
MAI/01;0.41
MAI/02;0.21
MAI/03;0.61
MAI/04;0.51
MAI/05;0.49
MAI/06;0.1
MAI/07;0.28
MAI/08;0.79
MAI/09;0.47
MAI/10;0.43
MAI/11;0.47
MAI/12;0.36
MAI/13;0.37
MAI/14;0.46
MAI/15;0.74
MAI/16;0.78
MAI/17;0.31
MAI/18;0.4
MAI/19;0.13
MAI/20;-0.38
MAI/21;0.83
MAI/22;0.47
MAI/23;0.23
