x;y
Jan/22    Abr/22<br>Mundo;3.8
nan;3.6
Jan/22    Abr/22<br>Países Desenvolvidos;2.6
nan;2.4
Jan/22    Abr/22<br>Países Emergentes;4.7
nan;4.4
Jan/22    Abr/22<br>Brasil;1.6
nan;1.4
