x;y
JAN/21;3477.8
FEV/21;8836.7
MAR/21;7010.4
ABR/21;4571.9
MAI/21;2232.9
JUN/21;693.2
JUL/21;6646.2
AGO/21;5226.6
SET/21;4599.9
OUT/21;2492.7
NOV/21;4587.9
DEZ/21;-3935.2
JAN/22;4709.0
