x;y
MAI/21;3.22
JUN/21;3.77
JUL/21;4.76
AGO/21;5.67
SET/21;6.9
OUT/21;8.24
NOV/21;9.26
DEZ/21;10.06
JAN/22;0.54
FEV/22;1.56
MAR/22;3.2
ABR/22;4.29
MAI/22;4.78
