x;y
ABR/21;44.5
MAI/21;49.2
JUN/21;54.6
JUL/21;55.2
AGO/21;54.6
SET/21;54.7
OUT/21;53.4
NOV/21;52.0
DEZ/21;52.0
JAN/22;50.9
FEV/22;53.5
MAR/22;56.6
ABR/22;58.5
