IBOVESPA - 2013
Dia;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez

1;;60.351,16;56.883,99;55.902,18;;;47.229,59;49.140,78;;53.179,46;54.013,24;
2;62.550,10;;;54.889,10;55.321,93;;45.228,95;48.474,04;51.835,15;53.100,18;;51.244,87
3;63.312,46;;;55.562,74;55.488,08;53.944,36;45.044,03;;51.625,50;52.489,86;;50.348,89
4;62.523,06;59.575,66;56.499,17;54.648,15;;54.017,90;45.763,16;;51.716,16;52.848,97;54.436,92;50.215,79
5;;59.444,97;55.950,73;55.050,60;;52.798,63;45.210,49;48.436,44;52.351,86;;53.831,85;50.787,63
6;;58.951,07;57.940,14;;55.429,88;52.884,83;;47.421,85;53.749,42;;53.384,60;50.944,27
7;61.932,54;58.372,46;58.846,81;;56.274,66;51.618,63;;47.446,71;;52.417,10;52.740,79;
8;61.127,84;58.497,83;58.432,75;55.092,31;55.804,80;;45.075,50;48.928,82;;52.312,44;52.248,86;
9;61.578,58;;;55.912,04;55.447,56;;;49.874,90;54.251,85;52.547,71;;51.165,38
10;61.678,31;;;56.186,56;55.107,80;51.316,65;45.483,43;;53.979,03;52.996,64;;50.993,02
11;61.497,43;;58.544,79;55.400,91;;49.769,93;46.626,26;;53.570,46;53.149,62;52.623,87;50.067,99
12;;;58.208,61;54.962,65;;49.180,58;45.533,24;50.299,49;53.307,09;;51.804,33;50.121,61
13;;58.405,74;57.385,90;;54.447,77;50.414,89;;50.600,55;53.797,51;;52.230,29;50.051,18
14;62.080,79;58.077,31;57.281,02;;54.666,82;49.332,34;;50.895,92;;54.170,60;53.451,60;
15;61.727,61;57.903,30;56.869,28;52.949,93;54.936,41;;46.738,90;50.908,34;;54.980,64;;
16;61.787,35;;;53.990,83;54.772,62;;46.869,29;51.538,78;53.821,63;55.973,03;;50.279,61
17;62.194,06;;;52.881,96;55.164,27;49.088,65;47.407,31;;54.271,25;55.358,13;;50.090,35
18;61.956,14;57.613,90;56.972,96;53.165,91;;49.464,94;47.656,92;;55.702,90;55.378,46;54.307,04;50.563,43
19;;57.314,40;56.361,24;53.928,92;;47.893,06;47.400,23;51.574,09;55.095,69;;53.032,91;51.633,43
20;;56.177,60;56.030,03;;55.700,77;48.214,43;;50.507,02;54.110,03;;;51.185,74
21;61.899,71;56.154,68;55.576,67;;56.265,32;47.056,04;;50.405,20;;56.077,43;52.688,02;
22;61.692,29;56.697,06;55.243,40;54.297,73;56.429,27;;48.574,09;51.397,66;;56.460,38;52.800,74;
23;61.966,26;;;54.884,75;56.349,91;;48.819,52;52.197,06;54.602,38;55.440,03;;51.356,10
24;61.169,83;;;54.984,23;56.406,21;45.965,05;48.374,23;;54.431,05;54.877,15;;
25;;56.617,56;54.873,12;54.963,32;;46.893,04;49.066,75;;54.261,11;54.154,15;52.263,51;
26;;56.948,87;55.671,39;54.252,04;;47.171,98;49.422,05;51.429,48;53.782,97;;51.446,91;51.221,01
27;;57.273,88;56.034,29;;56.395,94;47.609,46;;50.091,55;53.738,92;;51.861,21;51.266,56
28;60.027,07;57.424,29;56.352,09;;56.036,26;47.457,13;;49.866,92;;55.073,37;51.846,83;
29;60.406,33;;;54.887,25;54.634,69;;49.212,33;49.921,88;;54.538,80;52.482,49;
30;59.336,70;;;55.910,37;;;48.561,78;50.011,75;52.338,19;54.172,82;;51.507,16
31;59.761,49;;;;53.506,08;;48.234,49;;;54.256,20;;
MÍNIMO;59.336,70;56.154,68;54.873,12;52.881,96;53.506,08;45.965,05;45.044,03;47.421,85;51.625,50;52.312,44;51.446,91;50.051,18
MÍNIMO;63.312,46;60.351,16;58.846,81;56.186,56;56.429,27;54.017,90;49.422,05;52.197,06;55.702,90;56.460,38;54.436,92;51.633,43
