IBOVESPA - 2011
Dia;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez

1;;67.847,34;66.242,63;69.268,29;;63.411,48;63.394,34;58.535,74;58.118,20;;57.322,75;58.143,42
2;;66.688,48;67.281,51;;65.462,75;64.218,08;;57.310,78;56.531,62;;;57.885,85
3;69.962,32;66.764,84;68.145,53;;64.318,18;64.340,50;;56.017,22;;50.791,53;58.196,30;
4;70.317,79;65.269,15;68.012,10;69.703,80;63.615,50;;63.891,31;52.811,36;;50.686,34;58.669,92;
5;71.091,03;;;69.837,52;63.407,01;;63.038,81;52.949,22;54.998,41;51.013,85;;58.910,48
6;70.578,83;;;69.036,91;64.417,34;63.067,73;62.565,46;;56.607,30;52.290,37;;59.536,16
7;70.057,20;65.362,04;;69.176,12;;63.217,85;62.207,33;;;51.243,62;59.198,77;58.662,83
8;;65.771,33;;68.718,01;;63.032,97;61.513,24;48.668,29;57.623,63;;59.026,13;57.455,02
9;;64.217,52;67.263,75;;64.621,97;63.468,82;;51.150,90;55.778,39;;57.549,74;58.236,46
10;70.127,04;64.577,83;66.040,66;;64.876,88;62.697,16;;51.395,29;;53.273,11;57.321,81;
11;70.423,44;65.755,66;66.684,60;68.164,36;63.775,82;;60.223,63;53.343,11;;53.838,47;58.546,97;
12;71.632,90;;;66.896,23;64.003,16;;59.704,75;53.473,35;55.685,47;;;57.346,86
13;70.721,44;;;66.486,49;63.235,30;62.022,92;60.669,89;;55.543,97;54.601,07;;57.494,85
14;70.940,22;66.557,55;67.169,25;66.278,89;;62.204,83;59.679,35;;56.286,04;55.030,45;58.258,23;56.646,87
15;;66.341,39;67.005,22;66.684,21;;61.603,74;59.478,01;54.651,83;56.381,46;;;56.331,15
16;;67.576,62;66.002,57;;62.829,68;60.880,62;;54.323,61;57.210,11;;58.559,99;56.096,93
17;70.609,07;67.684,99;66.215,93;;63.673,34;61.059,98;;55.073,02;;53.911,33;56.988,90;
18;70.919,75;68.066,82;66.879,89;65.415,49;62.840,61;;58.837,61;53.134,10;;55.031,93;56.731,34;
19;70.058,08;;;66.158,09;62.367,36;;59.082,13;52.447,63;57.102,78;54.966,13;;55.298,33
20;69.561,53;;;67.058,02;62.596,52;61.168,24;59.119,71;;56.378,63;54.009,98;;56.864,85
21;69.133,09;67.258,66;66.689,61;;;61.423,61;60.262,95;;55.981,90;55.255,23;56.284,59;56.653,37
22;;66.439,83;67.578,33;;;61.194,09;60.270,47;52.440,23;53.280,28;;55.878,44;57.347,87
23;;66.910,48;67.795,51;;62.345,18;;;53.786,63;53.230,36;;54.972,08;57.701,07
24;69.426,57;66.948,99;67.532,97;;63.336,75;61.016,72;;53.795,70;;56.891,97;55.279,88;
25;;66.902,53;67.765,94;66.972,37;63.388,44;;59.970,54;52.953,30;;56.285,99;54.894,49;
26;68.709,22;;;67.144,26;64.098,57;;59.339,90;53.350,79;53.747,52;57.143,79;;57.669,48
27;68.050,71;;;66.264,47;64.294,96;61.216,98;58.288,46;;53.920,36;59.270,13;;58.005,20
28;66.697,57;67.383,22;67.192,82;65.673,21;;62.303,37;58.708,25;;53.270,36;59.513,13;56.017,35;56.533,76
29;;;67.418,76;66.132,86;;62.333,97;58.823,45;54.860,73;53.384,67;;55.299,76;56.754,08
30;;;67.997,06;;63.953,93;62.403,64;;55.385,03;52.324,42;;56.874,98;
31;66.574,88;;68.586,70;;64.620,08;;;56.495,12;;58.338,39;;
MÍNIMO;66.574,88;64.217,52;66.002,57;65.415,49;62.345,18;60.880,62;58.288,46;48.668,29;52.324,42;50.686,34;54.894,49;55.298,33
MÍNIMO;71.632,90;68.066,82;68.586,70;69.837,52;65.462,75;64.340,50;63.891,31;58.535,74;58.118,20;59.513,13;59.198,77;59.536,16
