IBOVESPA - 2018
Dia;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez

1;;85.495,24;85.377,79;;;77.239,75;;79.301,65;;78.623,66;88.419,05;
2;77.891,04;84.041,34;85.761,34;84.666,44;84.547,09;;72.839,74;79.636,69;;81.612,28;;
3;77.995,16;;;84.623,46;83.288,14;;73.667,76;81.434,98;76.192,74;83.273,40;;89.820,09
4;78.647,42;;;84.359,69;83.118,03;78.596,06;74.743,12;;74.711,80;82.952,81;;88.624,45
5;79.071,47;81.861,09;86.022,83;85.209,66;;76.641,72;74.553,06;;75.092,27;82.321,52;89.598,16;89.039,80
6;;83.894,04;85.653,02;84.820,42;;76.117,22;75.010,39;81.050,76;76.416,02;;88.668,92;88.846,49
7;;82.766,73;85.483,55;;82.714,43;73.851,46;;80.346,53;;;87.714,35;88.115,08
8;79.378,54;81.532,53;84.984,61;;82.956,05;72.942,07;;79.151,70;;86.083,92;85.620,14;
9;78.863,54;80.898,70;86.371,41;83.307,23;84.265,49;;;78.767,99;;86.087,55;85.641,22;
10;78.200,57;;;84.510,36;85.861,20;;74.862,38;76.514,36;76.436,36;83.679,12;;85.914,71
11;79.365,44;;;85.245,59;85.220,24;72.307,77;74.398,55;;74.656,51;82.921,08;;86.419,58
12;79.349,12;;86.900,43;85.443,53;;72.754,13;75.856,23;;75.124,81;;85.524,70;86.977,46
13;;;86.383,85;84.334,41;;72.122,14;76.594,36;77.496,46;74.686,68;;84.914,11;87.837,59
14;;83.542,84;86.050,96;;85.232,18;71.421,19;;78.602,12;75.429,10;;85.973,06;87.449,51
15;79.752,37;84.290,57;84.928,20;;85.130,42;70.757,73;;77.077,50;;83.359,77;;
16;79.831,76;84.524,58;84.886,49;82.861,58;86.536,97;;76.652,59;76.818,72;;85.717,57;88.515,27;
17;81.189,16;;;84.086,13;83.621,95;;78.130,30;76.028,51;76.788,86;85.763,96;;86.399,68
18;80.962,65;;;85.776,46;83.081,88;69.814,74;77.362,64;;78.313,97;83.847,12;;86.610,50
19;81.219,50;84.792,71;83.913,06;85.824,26;;71.394,34;77.486,84;;78.168,66;84.219,75;87.900,84;85.673,53
20;;85.803,96;84.163,80;85.550,09;;72.123,41;78.571,29;76.327,89;78.116,02;;;85.269,30
21;;86.051,82;84.976,59;;81.815,32;70.074,90;;75.180,40;79.444,29;;87.268,80;85.697,16
22;81.675,42;86.686,45;84.767,88;;82.738,88;70.640,65;;76.902,31;;85.596,70;87.477,44;
23;80.678,35;87.293,24;84.377,19;85.602,50;80.867,29;;77.996,12;75.633,77;;85.300,04;86.230,23;
24;83.680,00;;;85.469,08;80.122,31;;79.154,99;76.262,24;77.984,19;83.063,56;;
25;;;;85.044,39;78.897,66;70.952,97;80.218,05;;78.630,15;84.083,51;;
26;85.530,84;87.652,64;85.087,86;86.383,20;;71.404,59;79.405,34;;78.656,16;85.719,88;85.546,51;85.136,11
27;;86.935,44;83.808,06;86.444,66;;70.609,01;79.866,11;77.929,69;80.000,09;;87.891,18;85.460,21
28;;85.353,60;83.874,14;;75.355,84;71.766,53;;77.473,18;79.342,43;;89.250,83;87.887,27
29;84.698,01;;85.365,56;;76.071,97;72.762,52;;78.388,84;;83.796,71;89.709,57;
30;84.482,46;;;86.115,50;76.753,61;;80.275,60;76.404,10;;86.885,71;89.504,03;
31;84.912,70;;;;;;79.220,44;76.677,53;;87.423,55;;
MÍNIMO;77.891,04;80.898,70;83.808,06;82.861,58;75.355,84;69.814,74;72.839,74;75.180,40;74.656,51;78.623,66;84.914,11;85.136,11
MÍNIMO;85.530,84;87.652,64;86.900,43;86.444,66;86.536,97;78.596,06;80.275,60;81.434,98;80.000,09;87.423,55;89.709,57;89.820,09
