IBOVESPA - 1998
Dia;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez

1;;;;11.836,93;;9.605,44;9.914,51;;6.917,09;5.960,46;;8.544,56
2;10.479,85;9.973,05;10.845,34;11.857,62;;10.150,15;9.900,85;;6.804,64;6.409,52;;8.448,61
3;;10.054,86;10.939,12;11.634,49;;9.855,50;10.115,51;10.412,99;6.218,51;;7.509,06;7.706,29
4;;9.971,21;10.898,67;;11.507,43;10.191,03;;9.859,53;5.837,22;;7.655,96;7.626,74
5;10.606,92;9.948,07;10.947,66;;11.554,71;10.369,67;;9.828,05;;6.122,85;8.092,86;
6;10.184,60;10.010,76;11.159,20;11.948,43;11.164,90;;10.018,09;9.689,97;;6.336,36;8.214,32;
7;9.879,01;;;11.847,35;11.063,46;;10.205,13;9.319,50;;6.156,59;;7.945,79
8;9.657,59;;;11.974,78;11.220,22;10.540,03;10.335,80;;5.817,00;6.175,21;;7.629,25
9;9.118,23;10.239,91;11.166,83;;;10.369,59;;;5.655,49;6.527,54;8.242,38;7.572,86
10;;10.278,10;11.180,60;;;9.868,36;10.326,78;9.182,05;4.760,58;;8.000,47;7.530,49
11;;10.485,27;11.223,21;;10.983,26;;;8.801,65;5.398,18;;7.762,99;7.195,36
12;9.227,37;10.350,27;11.356,08;;10.797,97;9.584,99;;8.417,41;;;7.470,72;
13;9.415,57;10.365,53;11.566,34;12.120,66;10.779,34;;10.419,52;8.710,75;;6.618,07;7.615,14;
14;9.349,44;;;12.269,99;10.733,71;;10.641,75;8.743,74;5.818,60;6.445,47;;6.583,74
15;9.140,05;;;12.299,06;10.906,31;9.073,77;10.648,56;;6.905,39;6.874,01;;6.934,26
16;9.448,01;10.233,26;11.600,81;12.090,58;;9.248,77;10.907,85;;6.759,85;6.707,30;8.004,00;6.618,69
17;;10.420,08;11.808,28;12.108,83;;9.897,02;11.057,09;8.609,65;6.432,41;;8.330,37;6.645,43
18;;10.322,01;11.894,33;;10.204,60;9.539,43;;8.642,66;6.709,57;;8.547,08;6.781,84
19;9.752,72;10.235,82;11.831,70;;10.343,09;9.686,75;;8.541,57;;6.844,38;8.317,60;
20;9.568,35;10.318,73;11.919,29;12.028,15;10.408,20;;11.041,29;7.991,87;;6.973,49;8.531,39;
21;9.385,36;;;;10.268,82;;10.922,89;7.763,89;6.449,72;7.350,41;;7.201,79
22;9.709,04;;;11.703,13;10.239,82;9.619,78;10.912,47;;6.559,76;7.603,43;;7.115,07
23;9.467,68;;12.038,29;11.572,40;;9.937,11;10.639,96;;7.280,33;7.272,02;8.635,89;7.176,04
24;;;11.905,47;11.728,49;;9.855,64;10.574,72;7.655,42;6.844,35;;8.606,56;
25;;10.545,67;11.756,10;;10.015,47;9.527,81;;7.648,43;6.711,52;;8.909,71;
26;9.513,38;10.556,58;11.945,39;;9.436,25;9.464,16;;7.347,75;;6.971,80;8.953,75;
27;9.651,37;10.570,85;11.899,71;11.057,26;9.747,94;;10.564,05;6.616,73;;6.869,14;9.093,52;
28;9.773,10;;;11.377,24;10.152,11;;10.318,49;6.746,24;6.827,39;6.826,51;;6.898,98
29;9.785,73;;;11.527,76;9.846,56;9.603,90;10.542,42;;6.868,88;6.538,40;;6.715,14
30;9.720,30;;11.750,24;11.677,11;;9.678,27;10.939,23;;6.593,30;7.047,40;8.631,15;6.784,33
31;;;11.946,57;;;;10.707,25;6.472,15;;;;
MÍNIMO;9.118,23;9.948,07;10.845,34;11.057,26;9.436,25;9.073,77;9.900,85;6.472,15;4.760,58;5.960,46;7.470,72;6.583,74
MÍNIMO;10.606,92;10.570,85;12.038,29;12.299,06;11.554,71;10.540,03;11.057,09;10.412,99;7.280,33;7.603,43;9.093,52;8.544,56
