IBOVESPA - 2006
Dia;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez

1;;38.484,84;39.177,87;;;37.748,30;;36.839,31;37.329,15;;39.930,05;41.327,07
2;33.507,27;37.304,19;39.125,84;;41.016,58;37.942,18;;37.288,40;;37.057,75;;
3;34.540,58;37.261,73;39.239,75;38.717,07;40.919,76;;37.357,20;37.451,19;;36.437,55;40.435,18;
4;35.002,37;;;38.802,26;40.975,78;;37.367,34;37.847,88;37.693,35;37.749,29;;42.654,33
5;34.936,11;;;39.053,20;41.417,27;36.739,86;36.378,03;;37.367,96;37.976,86;;43.157,28
6;35.475,02;37.321,20;38.353,98;39.285,04;;36.557,80;36.533,13;;36.709,87;37.940,44;41.246,61;43.096,16
7;;36.561,70;37.422,58;38.926,49;;35.264,00;36.101,98;37.697,55;;;41.048,31;42.909,29
8;;36.499,41;37.289,08;;41.515,49;35.437,78;;37.600,44;36.558,48;;41.334,23;42.977,58
9;35.337,33;36.882,31;36.312,27;;41.979,29;35.074,63;;37.255,12;;38.406,37;40.815,48;
10;35.049,42;36.975,27;36.890,69;38.474,73;41.751,50;;36.140,64;37.353,76;;38.654,69;40.719,92;
11;35.952,24;;;37.901,19;40.847,07;;36.553,56;36.944,43;35.772,49;38.322,21;;43.297,06
12;35.779,30;;;38.427,41;40.211,97;33.554,52;36.229,71;;36.146,66;;;43.018,45
13;35.897,12;36.113,95;36.792,98;38.082,13;;32.847,61;35.354,28;;36.549,71;38.850,16;40.605,79;43.284,52
14;;36.626,88;37.541,49;;;32.941,46;35.349,68;36.556,88;36.153,60;;41.290,70;43.754,56
15;;37.239,30;38.243,99;;39.271,45;;;37.295,93;36.169,93;;;43.595,70
16;36.533,68;38.256,39;38.156,64;;39.416,44;34.398,92;;37.677,81;;39.229,06;41.161,87;
17;36.119,37;38.421,83;38.049,17;38.462,48;38.290,68;;34.866,31;37.558,89;;38.897,50;41.029,43;
18;35.805,19;;;39.572,47;37.807,15;;35.130,42;37.551,71;36.482,78;38.685,99;;43.508,73
19;36.858,19;;;39.937,74;37.732,86;33.897,35;36.785,45;;35.885,68;38.919,75;;43.589,72
20;36.694,65;38.539,18;38.203,53;39.774,59;;33.632,14;35.846,84;;35.196,59;38.642,82;;43.502,36
21;;38.165,97;37.398,01;;;34.546,64;35.510,40;37.160,60;34.830,08;;41.570,40;43.385,02
22;;38.246,40;37.850,59;;36.496,92;34.316,77;;36.677,51;34.798,80;;41.912,92;43.355,73
23;36.631,75;38.405,48;37.473,85;;36.110,00;34.661,22;;35.512,10;;39.226,76;42.069,83;
24;37.399,67;38.610,39;37.577,05;39.751,30;35.791,96;;36.224,39;35.797,26;;39.498,98;41.757,72;
25;;;;39.738,07;37.568,66;;36.680,83;35.957,52;34.972,74;39.562,63;;
26;38.014,36;;;40.410,06;38.629,71;34.631,24;36.594,30;;35.818,97;39.644,78;;43.603,08
27;37.822,22;;37.641,06;39.751,44;;34.375,73;36.887,72;;36.105,64;39.328,47;40.914,63;44.526,36
28;;;36.682,21;40.363,42;;34.834,65;37.381,06;36.374,51;36.486,19;;41.043,15;44.473,71
29;;;37.491,57;;38.145,15;36.486,67;;36.303,67;36.449,40;;41.970,01;
30;38.242,04;;37.776,76;;36.412,51;36.630,66;;36.313,43;;38.900,49;41.931,84;
31;38.382,80;;37.951,97;;36.530,04;;37.077,12;36.232,22;;39.262,79;;
MÍNIMO;33.507,27;36.113,95;36.312,27;37.901,19;35.791,96;32.847,61;34.866,31;35.512,10;34.798,80;36.437,55;39.930,05;41.327,07
MÍNIMO;38.382,80;38.610,39;39.239,75;40.410,06;41.979,29;37.942,18;37.381,06;37.847,88;37.693,35;39.644,78;42.069,83;44.526,36
