IBOVESPA - 2002
Dia;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez

1;;12.658,66;14.414,80;13.467,39;;;10.892,46;9.759,64;;8.997,53;10.140,05;
2;13.872,09;;;13.245,19;12.538,24;;10.845,63;9.852,03;10.378,42;8.820,05;;10.673,79
3;14.265,35;;;13.084,81;12.609,79;12.659,48;10.635,52;;10.135,80;9.139,88;;10.662,83
4;14.331,92;12.512,55;14.471,23;13.360,32;;12.600,22;10.655,47;;9.996,86;9.259,76;9.912,76;10.640,11
5;;12.747,51;14.011,44;13.276,32;;12.589,79;10.523,65;9.469,84;9.723,47;;9.861,22;10.413,09
6;;12.750,97;13.838,72;;12.430,24;12.112,58;;9.755,08;9.716,97;;9.702,76;10.569,02
7;14.378,59;12.683,67;13.725,98;;12.342,46;12.282,51;;9.869,60;;8.863,13;9.799,30;
8;14.167,58;12.597,86;13.961,93;13.159,51;12.616,85;;10.687,09;10.315,68;;8.846,53;9.860,29;
9;14.020,79;;;13.195,06;12.101,93;;;9.985,77;9.954,36;8.714,90;;10.338,75
10;13.570,18;;;13.416,12;12.130,14;12.599,51;10.555,99;;9.960,18;8.866,24;;10.331,33
11;13.587,49;;13.695,77;13.411,47;;12.210,49;10.806,45;;10.182,22;8.854,85;9.885,65;10.613,62
12;;;14.181,42;13.750,89;;12.132,98;10.967,00;9.723,69;10.172,54;;9.720,55;10.586,92
13;;12.960,67;14.244,16;;12.002,32;11.962,19;;9.444,10;10.180,94;;9.763,65;10.564,35
14;13.121,72;13.245,06;14.117,29;;12.204,12;11.698,95;;9.343,04;;8.450,85;9.884,27;
15;13.010,53;13.229,51;14.365,49;13.471,96;12.349,58;;10.633,20;9.183,25;;8.506,91;;
16;13.083,72;;;13.622,65;12.660,12;;10.577,81;9.526,28;9.831,05;8.370,88;;10.771,08
17;13.336,73;;;13.732,01;12.699,17;11.937,17;10.754,62;;9.650,08;8.901,86;;10.832,56
18;13.372,65;13.121,71;14.244,64;13.573,15;;11.821,18;10.812,78;;9.505,38;9.022,49;9.970,89;10.984,50
19;;12.991,50;14.117,81;13.478,34;;11.493,18;10.583,15;9.416,73;9.372,32;;9.971,23;11.207,50
20;;13.302,80;14.089,77;;12.667,75;10.908,68;;9.263,03;9.585,48;;10.087,57;11.489,99
21;13.154,56;13.530,24;13.717,34;;12.701,22;10.397,55;;9.437,66;;9.128,03;10.289,47;
22;13.003,93;13.562,99;13.312,38;13.224,18;12.367,98;;9.892,33;9.702,58;;9.331,36;10.404,12;
23;13.232,14;;;13.188,03;12.555,72;;9.745,83;9.676,39;9.264,17;9.840,03;;11.470,15
24;13.162,26;;;13.380,80;12.573,97;10.759,08;9.937,38;;9.148,43;9.799,16;;
25;;13.977,60;13.277,58;13.272,74;;10.705,58;9.665,90;;9.227,69;10.014,82;10.245,50;
26;;13.963,60;13.569,95;13.075,54;;10.690,53;9.217,15;10.097,56;9.199,01;;10.131,69;11.318,08
27;;14.212,12;13.424,72;;12.698,34;11.013,32;;10.371,98;8.715,87;;10.226,44;11.234,49
28;13.001,88;14.033,29;13.254,55;;12.728,18;11.139,16;;10.379,86;;9.573,94;10.239,18;
29;12.501,06;;;13.090,29;12.985,17;;9.240,47;10.455,32;;9.600,76;10.508,81;
30;12.532,33;;;13.085,12;;;9.341,88;10.382,20;8.622,54;10.068,64;;11.268,47
31;12.721,45;;;;12.861,43;;9.762,59;;;10.167,71;;
MÍNIMO;12.501,06;12.512,55;13.254,55;13.075,54;12.002,32;10.397,55;9.217,15;9.183,25;8.622,54;8.370,88;9.702,76;10.331,33
MÍNIMO;14.378,59;14.212,12;14.471,23;13.750,89;12.985,17;12.659,48;10.967,00;10.455,32;10.378,42;10.167,71;10.508,81;11.489,99
