IBOVESPA - 2003
Dia;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez

1;;;;11.592,10;;;13.291,10;13.129,81;15.352,12;16.578,74;;20.520,60
2;11.602,98;;;11.872,00;12.810,08;13.228,78;13.310,47;;15.454,31;16.893,61;;20.458,49
3;11.600,23;10.910,01;;12.006,20;;13.350,11;13.134,41;;15.633,80;17.089,30;18.517,16;20.539,60
4;;10.577,17;;12.065,51;;13.718,08;13.273,65;12.938,85;15.704,80;;18.541,18;20.414,17
5;;10.591,81;10.305,52;;12.832,76;13.779,88;;13.059,27;15.899,64;;18.307,06;20.879,81
6;12.019,70;10.565,83;10.615,31;;12.643,57;13.923,11;;12.887,73;;17.273,38;18.612,96;
7;11.876,09;10.380,59;10.723,79;12.135,96;12.956,15;;13.402,01;13.328,37;;17.470,14;18.672,19;
8;11.785,54;;;11.778,52;12.920,88;;13.618,80;13.499,97;16.050,22;17.804,80;;20.888,91
9;11.911,72;;;11.758,90;13.214,10;13.845,73;;;15.718,30;17.708,17;;21.259,75
10;12.242,92;10.479,61;10.308,61;11.591,45;;13.893,73;13.501,29;;15.983,27;17.676,14;18.572,29;20.972,60
11;;10.509,42;10.339,68;11.718,77;;13.876,52;13.320,58;13.560,26;16.292,43;;18.408,62;21.296,30
12;;10.509,87;10.582,84;;13.320,34;13.982,72;;13.602,41;16.421,35;;18.793,54;20.973,94
13;12.110,27;10.107,77;10.783,04;;13.420,65;13.733,70;;13.682,25;;18.061,94;18.754,55;
14;12.174,66;10.080,83;10.817,36;11.873,91;13.459,37;;13.588,14;13.812,12;;18.178,01;18.985,87;
15;11.971,31;;;12.106,00;13.129,69;;13.614,10;13.889,57;16.341,75;17.942,04;;20.709,75
16;11.951,93;;;12.043,14;13.224,98;13.832,86;13.487,24;;16.269,58;17.955,04;;20.759,56
17;11.675,70;10.188,99;10.874,75;12.395,40;;13.776,63;13.622,29;;16.492,38;17.790,71;18.668,71;21.199,27
18;;10.449,69;11.150,99;;;13.510,50;13.794,26;14.146,29;16.889,41;;18.812,97;21.489,27
19;;10.251,86;11.006,39;;12.745,94;;;14.157,94;16.851,49;;18.807,34;21.385,54
20;11.648,38;10.216,84;11.158,98;;12.745,10;13.130,96;;14.466,90;;18.369,59;19.199,14;
21;11.434,71;10.330,87;11.377,42;;13.033,66;;13.675,85;14.669,91;;18.448,72;19.248,39;
22;11.142,48;;;12.452,48;13.100,90;;13.835,20;14.613,03;16.485,60;18.234,83;;21.630,23
23;11.162,14;;;12.394,36;13.142,69;12.991,28;13.798,79;;16.443,53;17.689,81;;21.688,40
24;10.783,65;10.253,51;11.052,62;12.120,34;;13.108,41;13.761,10;;16.057,85;17.813,91;19.690,54;
25;;10.191,93;11.232,26;12.126,05;;13.025,71;13.750,36;14.473,17;15.806,02;;19.809,89;
26;;9.994,89;11.206,30;;12.852,46;13.111,71;;14.877,66;15.810,66;;19.694,82;21.806,57
27;10.529,77;10.150,71;11.233,48;;13.246,26;13.024,12;;15.142,59;;17.750,48;19.960,77;
28;10.516,84;10.280,61;11.396,20;12.462,40;13.294,34;;13.643,37;15.064,56;;18.227,64;20.183,97;
29;10.863,31;;;12.677,98;13.405,29;;13.623,34;15.174,49;16.108,73;17.944,84;;22.045,48
30;10.750,79;;;12.556,70;13.421,60;12.972,58;13.474,58;;16.010,67;18.093,83;;22.236,39
31;10.941,09;;11.273,63;;;;13.571,73;;;17.982,49;;
MÍNIMO;10.516,84;9.994,89;10.305,52;11.591,45;12.643,57;12.972,58;13.134,41;12.887,73;15.352,12;16.578,74;18.307,06;20.414,17
MÍNIMO;12.242,92;10.910,01;11.396,20;12.677,98;13.459,37;13.982,72;13.835,20;15.174,49;16.889,41;18.448,72;20.183,97;22.236,39
