IBOVESPA - 2019
Dia;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez

1;;97.861,28;94.603,76;96.054,46;;;101.339,68;102.125,94;;104.053,40;108.195,63;
2;91.012,32;;;95.386,76;95.527,62;;100.605,17;102.673,68;100.625,74;101.031,44;;108.927,83
3;91.564,26;;;94.491,48;96.007,89;97.020,48;102.043,11;;99.680,83;101.516,04;;108.956,02
4;91.840,80;98.588,64;;96.313,07;;97.380,28;103.636,17;;101.200,89;102.551,32;108.779,33;110.300,93
5;;98.311,21;;97.108,17;;95.998,75;104.089,47;100.097,75;102.243,00;;108.719,02;110.622,27
6;;94.635,57;94.216,88;;95.008,66;97.204,85;;102.163,69;102.935,43;;108.360,22;111.125,75
7;91.699,05;94.405,60;94.340,18;;94.388,73;97.821,26;;102.782,37;;100.572,77;109.580,57;
8;92.031,86;95.343,11;95.364,86;97.369,29;95.596,61;;104.530,22;104.115,23;;99.981,40;107.628,98;
9;93.613,05;;;96.291,79;94.807,85;;;103.996,16;103.180,59;101.248,78;;110.977,23
10;93.805,94;;;95.953,45;94.257,56;97.466,69;105.817,06;;103.031,50;101.817,13;;110.672,01
11;93.658,31;94.412,92;98.026,62;94.754,70;;98.960,00;105.146,44;;103.445,60;103.831,92;108.367,44;110.963,87
12;;96.168,40;97.828,04;92.875,00;;98.320,88;103.905,99;101.915,22;104.370,91;;106.751,11;112.199,74
13;;95.842,41;98.903,89;;91.726,54;98.773,70;;103.299,47;103.501,18;;106.059,95;112.564,86
14;94.474,13;98.015,10;98.604,67;;92.092,44;98.040,06;;100.258,01;;104.301,58;106.556,88;
15;94.055,72;97.525,91;99.136,74;93.082,97;91.623,44;;103.802,69;99.056,91;;104.489,56;;
16;94.393,08;;;94.333,31;90.024,47;;103.775,41;99.805,78;103.680,41;105.422,80;;111.896,04
17;95.351,09;;;93.284,75;89.992,73;97.623,25;103.855,53;;104.616,86;105.015,77;;112.615,66
18;96.096,75;96.509,89;99.993,93;94.578,26;;99.404,39;104.716,59;;104.531,93;104.728,89;106.269,25;114.314,65
19;;97.659,16;99.588,38;;;100.303,41;103.451,93;99.468,67;104.339,16;;105.864,18;115.131,25
20;;96.544,82;98.041,38;;91.946,19;;;99.222,25;104.817,40;;;115.121,08
21;96.009,78;96.932,28;96.729,08;;94.484,63;102.012,64;;101.201,90;;106.022,28;107.496,73;
22;95.103,38;97.885,60;93.735,16;94.588,06;94.360,66;;103.949,46;100.011,28;;107.381,11;108.692,28;
23;96.558,43;;;95.923,24;93.910,03;;103.704,28;97.667,49;104.637,82;107.543,59;;115.863,29
24;97.677,20;;;95.045,43;93.627,80;102.062,33;104.119,54;;103.875,66;106.986,15;;
25;;97.239,90;93.662,01;96.552,03;;100.092,95;102.654,58;;104.480,98;107.363,77;108.423,93;
26;;97.602,50;95.306,82;96.236,04;;100.688,63;102.818,93;96.429,60;105.319,40;;107.059,40;117.203,20
27;;97.307,32;91.903,41;;94.864,25;100.723,97;;97.276,19;105.077,63;;107.707,75;116.533,98
28;95.443,88;95.584,35;94.388,94;;96.392,76;100.967,20;;98.193,53;;108.187,06;108.290,09;
29;95.639,33;;95.414,56;96.187,75;96.566,55;;103.482,63;100.524,43;;107.556,26;108.233,28;
30;96.996,21;;;96.353,33;97.457,36;;102.932,76;101.134,61;104.745,32;108.407,54;;115.645,34
31;97.393,75;;;;97.030,32;;101.812,13;;;107.219,83;;
MÍNIMO;91.012,32;94.405,60;91.903,41;92.875,00;89.992,73;95.998,75;100.605,17;96.429,60;99.680,83;99.981,40;105.864,18;108.927,83
MÍNIMO;97.677,20;98.588,64;99.993,93;97.369,29;97.457,36;102.062,33;105.817,06;104.115,23;105.319,40;108.407,54;109.580,57;117.203,20
