IBOVESPA - 1999
Dia;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez

1;;8.891,03;9.198,00;;;11.050,65;11.708,12;;10.902,34;10.959,83;11.762,60;13.874,31
2;;8.731,70;9.070,65;;;10.996,50;11.835,58;10.211,04;10.998,22;;;14.213,17
3;;8.676,03;9.154,80;;11.436,90;;;10.264,62;11.156,23;;12.346,67;14.408,71
4;6.941,99;8.652,94;9.508,09;;11.268,19;11.233,70;;10.172,42;;11.055,42;12.406,32;
5;7.110,84;8.435,48;9.465,09;11.021,53;11.578,43;;11.936,01;10.195,71;;10.923,57;12.714,26;
6;7.330,72;;;11.165,65;11.888,87;;11.674,39;10.038,86;11.185,45;11.345,37;;14.344,07
7;6.954,17;;;11.529,92;12.233,23;11.047,47;11.745,00;;;11.338,06;;14.299,94
8;6.781,41;8.824,27;9.785,84;11.465,72;;11.032,87;11.509,03;;11.090,48;11.459,50;12.960,10;14.410,37
9;;8.673,53;9.484,01;11.328,55;;10.889,90;;9.948,48;11.292,04;;12.879,89;14.584,19
10;;8.853,21;9.778,11;;12.412,27;11.089,18;;9.834,62;11.363,36;;13.101,14;14.783,88
11;6.403,26;8.990,13;9.697,67;;12.267,40;11.104,55;;10.136,98;;11.478,17;13.189,27;
12;5.915,55;8.952,30;9.574,24;11.429,88;12.147,70;;11.273,24;10.045,98;;;13.114,01;
13;5.617,06;;;11.217,33;12.459,16;;11.302,88;10.180,90;11.477,63;11.297,70;;14.811,90
14;5.057,19;;;11.305,80;12.335,14;11.084,04;11.349,43;;11.459,22;11.330,31;;14.644,42
15;6.746,74;;10.413,65;11.245,55;;11.183,13;11.361,81;;11.263,11;11.146,49;;14.322,08
16;;;10.658,39;11.428,77;;11.643,51;11.407,10;10.118,57;11.094,44;;13.128,37;14.497,03
17;;8.974,01;10.634,76;;12.151,11;11.628,73;;9.924,65;11.290,05;;12.812,53;14.788,76
18;7.113,32;8.860,68;10.894,36;;12.267,84;11.877,24;;9.689,35;;10.978,22;13.087,43;
19;7.380,53;9.013,15;10.835,86;11.196,56;12.118,31;;11.451,72;9.818,12;;11.097,65;13.462,98;
20;7.674,10;;;10.989,42;12.088,24;;11.274,14;10.142,54;11.586,25;11.274,85;;15.110,21
21;7.321,32;;;;11.727,81;12.005,36;11.302,59;;11.449,49;11.253,59;;15.591,97
22;7.189,33;9.074,55;10.527,07;11.083,93;;11.974,44;11.238,59;;11.531,18;11.460,62;13.435,52;15.916,48
23;;8.942,68;10.416,95;11.031,91;;11.792,22;10.989,09;10.180,80;11.385,04;;13.565,23;15.953,63
24;;8.953,18;10.428,54;;11.154,61;11.430,77;;10.314,01;11.532,82;;13.392,91;
25;;8.674,20;10.937,11;;10.602,18;11.219,58;;10.650,03;;11.394,29;13.536,08;
26;7.645,46;8.910,72;10.865,44;10.797,92;11.245,11;;10.675,31;10.496,06;;11.469,50;13.888,26;
27;7.687,14;;;10.885,36;10.936,95;;10.734,56;10.545,10;11.542,17;11.530,72;;16.011,42
28;7.987,13;;;11.127,21;10.929,67;11.264,01;10.691,07;;11.442,40;11.700,11;;16.376,81
29;8.171,56;;10.868,89;11.085,25;;11.379,29;10.568,34;;11.433,54;11.700,20;13.854,98;16.772,96
30;;;11.027,58;11.350,56;;11.626,94;10.441,90;10.524,17;11.106,31;;13.778,86;17.091,60
31;;;10.696,35;;11.089,61;;;10.564,60;;;;
MÍNIMO;5.057,19;8.435,48;9.070,65;10.797,92;10.602,18;10.889,90;10.441,90;9.689,35;10.902,34;10.923,57;11.762,60;13.874,31
MÍNIMO;8.171,56;9.074,55;11.027,58;11.529,92;12.459,16;12.005,36;11.936,01;10.650,03;11.586,25;11.700,20;13.888,26;17.091,60
