IBOVESPA - 2009
Dia;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez

1;;;;41.976,33;;54.486,29;51.543,78;;55.814,96;60.459,33;;68.408,40
2;40.244,22;38.666,44;36.234,69;43.736,45;;53.999,52;51.024,94;;55.385,72;61.171,99;;68.614,79
3;;39.746,76;36.467,56;44.390,98;;52.086,63;50.934,69;55.997,81;55.707,17;;62.643,23;68.314,82
4;;40.129,04;38.402,24;;50.404,53;53.463,90;;56.038,07;56.652,28;;63.912,57;67.603,52
5;41.518,66;41.108,65;37.368,93;;50.669,78;53.341,01;;56.384,08;;62.369,30;64.815,72;
6;42.312,28;42.755,50;37.105,09;44.167,26;51.499,48;;50.622,47;55.754,88;;62.670,59;64.466,13;
7;40.820,25;;;43.824,53;50.058,06;;49.456,70;56.329,51;;62.638,28;;68.512,19
8;41.990,55;;;44.181,98;51.395,99;53.630,39;49.177,55;;57.854,80;63.759,87;;67.728,51
9;41.582,94;42.100,12;36.741,35;45.538,71;;53.157,13;;;57.909,95;64.071,01;66.214,35;68.011,99
10;;41.207,43;38.794,55;;;53.410,93;49.220,78;56.830,01;58.535,79;;66.303,49;68.728,29
11;;40.845,62;38.804,80;;50.976,39;;;55.761,16;58.366,38;;66.431,24;69.267,47
12;39.403,47;40.500,79;39.151,86;;50.325,78;53.558,23;;56.588,26;;;64.447,93;
13;39.544,23;41.673,62;39.015,37;45.991,89;48.679,19;;49.186,93;57.047,98;;64.645,59;65.325,63;
14;37.981,77;;;45.418,18;49.446,02;;48.872,58;56.638,00;58.867,55;66.201,13;;69.349,40
15;39.151,08;;;45.272,65;49.007,21;52.033,82;51.296,66;;59.263,86;66.703,32;;69.310,81
16;39.341,54;41.841,32;38.607,20;46.024,78;;51.205,78;51.918,20;;60.410,66;66.200,49;66.627,10;68.622,40
17;;39.846,97;39.510,72;45.778,28;;51.045,84;52.072,49;55.218,37;60.236,03;;67.405,98;67.067,96
18;;39.674,39;40.142,29;;51.463,02;50.903,02;;55.748,92;60.703,01;;66.515,66;66.794,21
19;38.828,32;39.730,33;40.453,43;;51.348,44;51.373,77;;56.156,28;;67.239,45;66.327,28;
20;37.272,07;38.714,64;40.076,41;44.433,15;51.245,09;;53.154,93;56.831,48;;65.303,11;;
21;38.542,90;;;;50.087,33;;53.233,57;57.728,59;60.928,02;65.485,59;;65.925,19
22;37.894,33;;;44.888,20;50.568,49;49.494,80;53.072,57;;61.493,39;66.134,97;;67.417,93
23;38.132,35;;42.438,55;45.801,17;;49.813,58;54.249,36;;60.496,19;65.058,84;66.809,40;67.588,86
24;;;41.475,83;46.771,79;;49.672,12;54.457,29;57.775,37;60.046,28;;67.317,00;
25;;38.231,58;41.799,30;;50.816,24;51.514,81;;57.421,43;60.355,73;;67.917,08;
26;38.509,45;38.180,18;42.588,66;;51.840,80;51.485,61;;57.765,69;;65.085,55;66.391,80;
27;38.698,92;38.183,31;41.907,29;45.819,71;51.791,61;;54.548,99;57.703,85;;63.161,04;67.082,15;
28;40.227,45;;;45.821,44;53.040,74;;54.471,54;57.700,57;61.316,62;60.162,31;;67.901,70
29;39.638,42;;;47.226,79;53.197,73;52.137,58;53.734,53;;61.235,26;63.720,58;;68.296,04
30;39.300,79;;40.653,13;47.289,53;;51.465,46;54.478,43;;61.517,89;61.545,50;67.044,44;68.588,41
31;;;40.925,87;;;;54.765,72;56.488,98;;;;
MÍNIMO;37.272,07;38.180,18;36.234,69;41.976,33;48.679,19;49.494,80;48.872,58;55.218,37;55.385,72;60.162,31;62.643,23;65.925,19
MÍNIMO;42.312,28;42.755,50;42.588,66;47.289,53;53.197,73;54.486,29;54.765,72;57.775,37;61.517,89;67.239,45;67.917,08;69.349,40
