IBOVESPA - 2021
Dia;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez

1;;117.517,57;110.334,83;115.253,31;;128.267,05;125.666,19;;119.395,60;112.899,64;105.550,86;100.774,57
2;;118.233,81;111.539,80;;;129.601,44;127.621,65;122.515,74;116.677,08;;;104.466,24
3;;119.724,72;111.183,95;;119.209,48;;;123.576,56;116.933,24;;105.616,88;105.069,69
4;118.854,71;119.260,82;112.690,17;;117.712,00;130.125,78;;121.801,21;;110.393,09;103.412,09;
5;119.376,21;120.240,26;115.202,23;117.518,44;119.564,44;;126.920,05;121.632,92;;110.457,64;104.824,23;
6;119.100,08;;;117.498,87;119.920,61;;125.094,88;122.810,36;117.868,63;110.559,57;;106.858,87
7;122.385,92;;;117.623,58;122.038,11;130.776,27;127.018,71;;;110.585,43;;107.557,67
8;125.076,63;119.696,36;110.611,58;118.313,23;;129.787,11;125.427,77;;113.412,84;112.833,20;104.781,13;108.095,53
9;;119.471,62;111.330,62;117.669,90;;129.906,80;;123.019,38;115.360,86;;105.535,08;
10;;118.435,33;112.776,49;;121.909,03;130.076,17;;122.202,47;114.285,93;;105.967,51;
11;123.255,13;119.299,83;114.983,76;;122.964,01;129.441,03;;122.056,34;;112.180,48;107.594,67;
12;123.998,00;119.428,72;114.160,40;118.811,74;119.710,03;;127.593,83;120.700,98;;;106.334,54;
13;121.933,08;;;119.297,13;120.705,91;;128.167,74;121.193,75;116.403,72;113.455,92;;
14;123.480,52;;;120.294,68;121.880,82;130.207,96;128.406,51;;116.180,55;113.185,48;;
15;120.348,80;;114.850,74;120.700,67;;130.091,08;127.467,88;;115.062,54;114.647,99;;
16;;;114.018,78;121.113,93;;129.259,49;125.960,26;119.180,03;113.794,28;;104.403,66;
17;;120.355,79;116.549,44;;122.937,87;128.057,22;;117.903,81;111.439,37;;102.948,45;
18;121.241,63;119.198,97;114.835,43;;122.979,96;128.405,35;;116.642,62;;114.428,18;102.426,00;
19;120.636,39;118.430,53;116.221,58;120.933,78;122.636,30;;124.394,57;117.164,69;;110.672,76;103.035,02;
20;119.646,40;;;120.061,99;122.700,79;;125.401,36;118.052,77;108.843,74;110.786,43;;
21;118.328,99;;;;122.592,47;129.264,96;125.929,25;;110.249,73;107.735,01;;
22;117.380,49;112.667,70;114.978,86;119.371,48;;128.767,45;126.146,66;;112.282,28;106.296,18;102.122,37;
23;;115.227,46;113.261,80;120.530,06;;128.427,98;125.052,78;117.471,67;114.064,36;;103.653,82;
24;;115.667,78;112.064,19;;124.031,62;129.513,62;;120.210,75;113.282,67;;104.514,19;
25;;112.256,36;113.749,90;;122.987,71;127.255,61;;120.817,71;;108.714,55;105.811,25;
26;116.464,06;110.035,17;114.780,62;120.594,61;123.989,17;;126.003,86;118.723,97;;106.419,53;102.224,26;
27;115.882,30;;;119.388,37;124.366,57;;124.612,03;120.677,60;113.583,01;106.363,10;;
28;118.883,25;;;121.052,52;125.561,37;127.429,17;126.285,59;;110.123,85;105.704,96;;
29;115.067,55;;115.418,72;120.065,75;;127.327,44;125.675,33;;111.106,83;103.500,71;102.814,03;
30;;;116.849,67;118.893,84;;126.801,66;121.800,79;119.739,96;110.979,10;;101.915,45;
31;;;116.633,72;;126.215,73;;;118.781,03;;;;
MÍNIMO;115.067,55;110.035,17;110.334,83;115.253,31;117.712,00;126.801,66;121.800,79;116.642,62;108.843,74;103.500,71;101.915,45;100.774,57
MÍNIMO;125.076,63;120.355,79;116.849,67;121.113,93;126.215,73;130.776,27;128.406,51;123.576,56;119.395,60;114.647,99;107.594,67;108.095,53
