IBOVESPA - 2012
Dia;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez

1;;64.567,18;66.809,80;;;53.402,90;;56.291,93;;59.570,80;58.382,68;
2;57.829,27;64.593,10;67.781,60;65.216,25;62.423,56;;54.692,79;55.520,40;;59.222,08;;
3;59.264,87;65.217,37;;64.284,26;62.104,15;;55.780,32;57.255,22;57.281,45;58.627,33;;58.202,35
4;59.364,95;;;63.528,65;60.820,93;53.416,75;56.076,82;;56.233,90;58.458,00;;57.563,23
5;58.546,08;;66.964,03;63.691,18;;52.481,44;56.379,06;;56.863,91;58.571,59;58.209,76;57.678,62
6;58.600,37;65.223,72;65.114,15;;;54.156,04;55.394,05;58.344,61;58.321,24;;59.458,59;57.656,42
7;;65.917,02;66.016,76;;61.220,43;;;57.725,66;;;58.517,35;58.487,32
8;;65.831,16;66.908,39;;60.365,48;54.429,85;;58.950,98;;59.317,15;57.524,45;
9;59.082,88;65.530,49;66.703,96;62.923,21;59.786,12;;;58.797,13;;58.939,46;57.357,71;
10;59.805,96;63.997,86;;61.738,28;59.702,05;;53.705,82;59.280,93;58.404,10;58.456,28;;59.248,23
11;59.962,40;;;61.293,14;59.445,21;54.001,45;53.569,14;;59.422,55;59.161,72;;59.623,34
12;59.920,78;;66.384,76;63.058,00;;55.049,03;53.420,87;;59.921,80;;57.064,31;59.474,18
13;59.146,58;65.691,53;68.394,33;62.105,60;;55.650,51;54.330,51;59.122,74;61.958,12;;57.486,07;59.316,75
14;;65.038,53;68.257,22;;57.539,61;55.351,67;;58.082,92;62.105,47;;56.279,36;59.604,92
15;;65.368,49;67.749,49;;56.237,97;56.104,69;;58.189,28;;59.601,71;;
16;59.956,46;66.141,70;67.684,13;61.954,55;55.887,57;;53.401,80;59.445,79;;59.743,87;55.402,33;
17;60.645,90;66.203,50;;62.698,87;54.038,20;;53.909,47;59.082,37;61.805,98;60.087,29;;59.566,52
18;61.722,86;;;63.010,48;54.513,16;56.195,21;54.583,13;;61.804,33;59.733,90;;60.460,73
19;61.926,69;;67.730,31;62.618,41;;57.195,49;55.346,65;;61.651,83;58.922,04;56.450,86;60.998,34
20;62.312,13;;67.295,56;62.494,08;;57.166,55;54.194,79;59.283,09;61.687,97;;;61.276,12
21;;;66.860,05;;56.590,24;55.505,17;;58.917,73;61.320,07;;56.242,12;61.007,03
22;;66.092,77;65.828,19;;55.038,75;55.439,50;;59.380,76;;58.700,30;56.436,97;
23;62.386,24;65.819,62;65.812,95;61.539,38;54.619,48;;53.033,96;58.511,55;;57.690,24;57.574,03;
24;62.486,22;65.942,73;;61.971,14;54.063,00;;52.638,63;58.425,76;61.909,99;57.160,74;;
25;;;;61.750,38;54.463,16;53.805,38;52.607,54;;60.501,10;57.836,78;;
26;62.953,06;;66.684,59;62.198,06;;53.836,57;54.002,72;;60.478,05;57.276,81;56.737,10;60.959,79
27;62.904,20;65.241,49;66.037,35;61.691,21;;53.108,93;56.553,12;58.111,46;60.239,79;;56.248,09;60.415,95
28;;65.958,78;65.079,34;;55.212,69;52.652,25;;58.406,40;59.175,80;;56.539,40;60.952,08
29;;65.811,73;64.871,99;;54.633,06;54.354,63;;57.369,19;;57.176,58;57.852,53;
30;62.770,01;;64.510,97;61.820,26;53.797,91;;57.240,92;57.256,43;;57.683,76;57.474,57;
31;63.072,31;;;;54.490,41;;56.097,05;57.061,45;;57.068,18;;
MÍNIMO;57.829,27;63.997,86;64.510,97;61.293,14;53.797,91;52.481,44;52.607,54;55.520,40;56.233,90;57.068,18;55.402,33;57.563,23
MÍNIMO;63.072,31;66.203,50;68.394,33;65.216,25;62.423,56;57.195,49;57.240,92;59.445,79;62.105,47;60.087,29;59.458,59;61.276,12
