IBOVESPA - 2001
Dia;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez

1;;17.038,74;16.416,58;;;14.791,97;;13.743,06;;10.501,12;11.387,81;
2;15.425,34;16.914,96;16.581,00;13.981,30;14.897,24;;14.555,00;13.822,72;;10.350,83;;
3;16.599,42;;;13.736,61;15.141,91;;14.352,77;13.838,42;12.800,03;10.233,26;;13.336,00
4;16.675,06;;;13.854,76;15.092,76;15.103,86;14.056,00;;12.766,88;10.061,92;;13.146,64
5;16.409,81;16.731,24;16.537,24;14.442,51;;15.394,82;14.047,66;;12.590,92;10.197,07;12.164,66;13.382,13
6;;17.006,77;16.324,33;14.484,51;;15.328,83;13.906,76;14.046,82;12.255,29;;12.415,57;13.539,03
7;;16.812,35;16.395,21;;14.875,00;15.464,06;;14.035,91;;;12.615,83;13.298,72
8;16.562,14;17.243,30;16.226,71;;14.747,41;15.366,25;;13.919,18;;10.094,56;12.553,64;
9;16.975,64;17.138,40;16.123,44;14.718,99;14.778,98;;;13.834,19;;10.284,45;12.730,71;
10;16.918,57;;;15.047,76;14.993,46;;13.569,79;13.915,09;11.922,39;10.462,25;;13.446,18
11;17.023,58;;;14.818,83;14.493,20;15.224,19;13.811,84;;10.827,96;10.784,72;;13.348,12
12;16.850,09;16.917,06;15.527,26;14.969,37;;15.173,07;13.912,93;;11.113,50;;12.567,12;13.562,94
13;;17.095,78;15.584,14;;;15.403,40;14.078,46;13.771,36;10.306,26;;12.918,09;13.148,37
14;;17.120,05;15.244,90;;14.132,76;;;13.829,49;10.034,40;;12.825,62;12.959,17
15;16.962,75;16.937,19;15.060,87;;14.226,33;14.985,01;;13.658,60;;11.329,32;;
16;16.720,98;16.259,05;15.237,03;14.444,59;14.714,25;;13.811,39;13.509,47;;11.257,85;12.882,82;
17;17.191,02;;;14.336,90;14.793,51;;14.168,65;13.044,21;10.544,99;11.271,49;;12.912,06
18;17.521,46;;;14.955,36;14.884,06;14.355,42;13.790,88;;10.554,13;10.994,96;;13.397,36
19;17.530,09;16.060,76;14.835,90;14.431,08;;14.400,73;13.761,51;;10.744,53;11.331,57;12.987,23;13.290,01
20;;15.910,57;14.903,36;13.696,42;;14.571,24;14.092,32;13.115,48;10.543,12;;12.638,13;12.918,14
21;;15.593,86;14.852,68;;15.127,91;14.822,98;;12.891,70;10.418,75;;12.793,79;13.368,53
22;17.391,67;15.910,36;14.067,27;;14.828,87;14.682,10;;12.952,23;;11.699,99;13.019,43;
23;17.832,13;16.157,75;14.435,08;13.892,65;14.691,61;;14.067,72;12.750,79;;11.613,44;13.423,86;
24;17.771,76;;;14.068,00;14.523,21;;13.737,59;13.001,12;10.532,83;11.467,74;;
25;;;;14.162,75;14.310,06;14.539,60;13.955,89;;10.229,05;11.723,75;;
26;17.889,05;;14.712,04;14.757,02;;14.459,99;13.810,29;;10.005,87;11.780,57;13.759,53;13.360,32
27;;;14.835,40;14.927,95;;14.308,00;13.910,26;12.995,85;10.404,72;;13.602,88;13.757,59
28;;15.891,41;14.631,88;;14.302,02;14.390,97;;13.018,10;10.635,74;;13.019,20;13.577,57
29;17.883,38;;14.282,18;;14.453,91;14.559,79;;13.076,99;;11.377,02;12.736,39;
30;17.722,58;;14.438,45;14.917,54;14.489,36;;13.703,61;12.892,39;;11.023,95;12.931,71;
31;17.672,77;;;;14.649,98;;13.754,16;12.840,60;;11.364,71;;
MÍNIMO;15.425,34;15.593,86;14.067,27;13.696,42;14.132,76;14.308,00;13.569,79;12.750,79;10.005,87;10.061,92;11.387,81;12.912,06
MÍNIMO;17.889,05;17.243,30;16.581,00;15.047,76;15.141,91;15.464,06;14.555,00;14.046,82;12.800,03;11.780,57;13.759,53;13.757,59
