IBOVESPA - 2004
Dia;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez

1;;;22.498,59;22.647,07;;19.545,82;21.348,67;;22.512,87;23.777,02;23.272,98;25.234,70
2;22.444,71;21.786,95;22.442,42;22.948,95;;19.716,63;21.568,36;22.448,01;22.688,07;;;25.200,40
3;;22.280,99;22.550,49;;19.708,58;19.399,96;;22.372,90;22.415,05;;23.660,11;25.467,97
4;;21.684,53;22.392,99;;19.987,56;19.818,73;;22.177,92;;24.150,39;23.879,62;
5;23.531,74;21.091,68;22.872,94;23.146,07;20.026,24;;21.670,29;21.330,25;;24.205,25;23.541,63;
6;23.576,44;21.968,81;;23.071,60;19.190,48;;21.188,05;21.652,71;22.501,53;24.027,14;;25.632,50
7;23.320,12;;;22.443,38;18.620,01;20.446,77;21.171,23;;;24.104,18;;24.988,62
8;23.716,82;;22.993,31;22.724,70;;20.283,70;20.887,39;;22.534,32;23.926,85;23.211,89;24.968,39
9;23.916,72;21.961,58;22.673,76;;;19.864,70;;21.260,91;22.286,49;;23.215,87;24.526,04
10;;22.171,49;21.670,28;;17.604,12;;;21.736,72;21.968,08;;23.454,55;24.933,32
11;;23.197,11;20.763,14;;18.536,62;19.834,46;;21.569,71;;23.953,95;23.520,70;
12;24.236,98;23.063,45;21.775,77;22.779,62;18.325,66;;21.532,23;21.570,24;;;24.035,42;
13;23.939,63;22.529,80;;22.619,62;18.401,76;;21.676,63;21.401,26;21.809,22;23.289,29;;25.225,16
14;23.398,64;;;22.311,96;18.611,21;19.487,69;21.672,67;;22.309,43;22.959,48;;25.563,13
15;22.961,70;;21.233,65;21.739,46;;20.047,46;22.064,66;;22.343,52;23.367,84;;25.575,83
16;23.154,58;22.188,88;21.612,94;21.768,93;;20.459,75;22.447,13;21.763,76;22.875,77;;23.772,06;25.831,13
17;;22.426,27;21.900,98;;18.122,37;20.334,60;;22.060,50;23.073,59;;24.169,83;25.659,14
18;;22.000,12;22.369,86;;18.556,29;20.333,33;;22.778,77;;23.411,07;24.143,05;
19;23.385,17;20.950,98;22.260,64;21.626,72;18.688,22;;22.102,43;22.934,83;;22.892,99;24.034,19;
20;23.678,75;21.336,91;;21.077,59;18.240,06;;22.361,24;23.195,63;23.078,24;22.873,49;;25.536,63
21;23.301,82;;;;18.285,49;20.293,04;21.810,32;;23.105,76;23.058,95;;25.889,72
22;22.968,78;;21.663,09;21.141,61;;20.199,20;21.730,32;;22.748,97;22.735,47;24.444,90;25.723,19
23;23.471,00;;21.204,93;21.590,47;;20.836,11;21.591,09;22.852,13;22.943,55;;24.340,46;25.878,19
24;;;20.984,71;;18.669,30;20.708,33;;22.870,14;22.972,07;;24.368,33;
25;;21.609,23;21.000,38;;18.859,52;20.750,23;;23.058,41;;22.602,60;24.866,63;
26;24.349,78;21.449,61;21.541,01;21.323,63;19.069,44;;21.317,70;22.582,04;;22.848,91;24.997,82;
27;24.226,04;21.755,02;;21.316,64;19.734,35;;21.737,00;22.596,84;22.834,06;23.170,78;;25.936,93
28;23.851,62;;;20.473,62;19.667,38;20.350,91;22.168,28;;23.230,64;22.928,50;;26.116,61
29;22.386,18;;21.530,70;19.865,21;;20.800,84;22.227,78;;23.208,35;23.052,18;24.854,76;26.161,31
30;21.851,44;;22.042,68;19.607,23;;21.148,91;22.336,87;22.869,15;23.245,24;;25.128,33;26.196,25
31;;;22.142,26;;19.544,67;;;22.803,19;;;;
MÍNIMO;21.851,44;20.950,98;20.763,14;19.607,23;17.604,12;19.399,96;20.887,39;21.260,91;21.809,22;22.602,60;23.211,89;24.526,04
MÍNIMO;24.349,78;23.197,11;22.993,31;23.146,07;20.026,24;21.148,91;22.447,13;23.195,63;23.245,24;24.205,25;25.128,33;26.196,25
