date,close
1968-01-02,1e-10
1968-01-03,1e-10
1968-01-04,9.9e-11
1968-01-05,9.7e-11
1968-01-08,9.7e-11
1968-01-09,9.8e-11
1968-01-10,9.7e-11
1968-01-11,1e-10
1968-01-12,1.01e-10
1968-01-15,1.03e-10
1968-01-16,1.03e-10
1968-01-17,1.02e-10
1968-01-18,1.03e-10
1968-01-19,1.04e-10
1968-01-22,1.05e-10
1968-01-23,1.06e-10
1968-01-24,1.07e-10
1968-01-26,1.08e-10
1968-01-29,1.08e-10
1968-01-30,1.08e-10
1968-01-31,1.07e-10
1968-02-01,1.07e-10
1968-02-02,1.08e-10
1968-02-05,1.08e-10
1968-02-06,1.09e-10
1968-02-07,1.09e-10
1968-02-08,1.09e-10
1968-02-09,1.1e-10
1968-02-12,1.1e-10
1968-02-13,1.11e-10
1968-02-14,1.11e-10
1968-02-15,1.13e-10
1968-02-16,1.14e-10
1968-02-19,1.16e-10
1968-02-20,1.17e-10
1968-02-21,1.2e-10
1968-02-22,1.22e-10
1968-02-23,1.23e-10
1968-02-29,1.23e-10
1968-03-01,1.24e-10
1968-03-04,1.27e-10
1968-03-05,1.28e-10
1968-03-06,1.26e-10
1968-03-07,1.27e-10
1968-03-08,1.27e-10
1968-03-11,1.28e-10
1968-03-12,1.28e-10
1968-03-18,1.29e-10
1968-03-19,1.29e-10
1968-03-20,1.3e-10
1968-03-21,1.28e-10
1968-03-22,1.29e-10
1968-03-25,1.28e-10
1968-03-26,1.26e-10
1968-03-27,1.28e-10
1968-03-28,1.31e-10
1968-03-29,1.34e-10
1968-04-01,1.34e-10
1968-04-02,1.33e-10
1968-04-03,1.35e-10
1968-04-04,1.4e-10
1968-04-05,1.42e-10
1968-04-08,1.44e-10
1968-04-09,1.51e-10
1968-04-10,1.51e-10
1968-04-11,1.49e-10
1968-04-15,1.47e-10
1968-04-16,1.48e-10
1968-04-17,1.47e-10
1968-04-18,1.46e-10
1968-04-19,1.47e-10
1968-04-22,1.48e-10
1968-04-23,1.5e-10
1968-04-24,1.52e-10
1968-04-25,1.57e-10
1968-04-26,1.59e-10
1968-04-29,1.61e-10
1968-04-30,1.64e-10
1968-05-02,1.69e-10
1968-05-03,1.71e-10
1968-05-06,1.72e-10
1968-05-07,1.74e-10
1968-05-08,1.78e-10
1968-05-09,1.77e-10
1968-05-10,1.79e-10
1968-05-13,1.79e-10
1968-05-14,1.82e-10
1968-05-15,1.84e-10
1968-05-16,1.86e-10
1968-05-17,1.85e-10
1968-05-20,1.83e-10
1968-05-21,1.85e-10
1968-05-22,1.8e-10
1968-05-23,1.75e-10
1968-05-24,1.72e-10
1968-05-27,1.71e-10
1968-05-28,1.69e-10
1968-05-29,1.77e-10
1968-05-30,1.79e-10
1968-05-31,1.78e-10
1968-06-03,1.73e-10
1968-06-04,1.66e-10
1968-06-05,1.68e-10
1968-06-06,1.66e-10
1968-06-07,1.68e-10
1968-06-10,1.68e-10
1968-06-11,1.65e-10
1968-06-12,1.62e-10
1968-06-14,1.61e-10
1968-06-17,1.61e-10
1968-06-18,1.6e-10
1968-06-19,1.6e-10
1968-06-20,1.61e-10
1968-06-21,1.59e-10
1968-06-24,1.58e-10
1968-06-25,1.57e-10
1968-06-26,1.56e-10
1968-06-27,1.59e-10
1968-06-28,1.63e-10
1968-07-01,1.66e-10
1968-07-02,1.66e-10
1968-07-03,1.63e-10
1968-07-04,1.6e-10
1968-07-05,1.61e-10
1968-07-08,1.62e-10
1968-07-09,1.64e-10
1968-07-10,1.64e-10
1968-07-11,1.61e-10
1968-07-12,1.64e-10
1968-07-15,1.66e-10
1968-07-16,1.65e-10
1968-07-17,1.64e-10
1968-07-18,1.64e-10
1968-07-19,1.63e-10
1968-07-22,1.64e-10
1968-07-23,1.63e-10
1968-07-24,1.63e-10
1968-07-25,1.63e-10
1968-07-26,1.63e-10
1968-07-29,1.63e-10
1968-07-30,1.62e-10
1968-07-31,1.62e-10
1968-08-01,1.64e-10
1968-08-02,1.64e-10
1968-08-05,1.65e-10
1968-08-06,1.65e-10
1968-08-07,1.66e-10
1968-08-08,1.65e-10
1968-08-09,1.64e-10
1968-08-12,1.63e-10
1968-08-13,1.62e-10
1968-08-14,1.61e-10
1968-08-15,1.6e-10
1968-08-16,1.59e-10
1968-08-19,1.59e-10
1968-08-20,1.6e-10
1968-08-21,1.61e-10
1968-08-22,1.65e-10
1968-08-23,1.66e-10
1968-08-26,1.67e-10
1968-08-27,1.68e-10
1968-08-28,1.67e-10
1968-08-29,1.67e-10
1968-08-30,1.67e-10
1968-09-02,1.67e-10
1968-09-03,1.7e-10
1968-09-04,1.72e-10
1968-09-05,1.76e-10
1968-09-06,1.75e-10
1968-09-09,1.75e-10
1968-09-10,1.77e-10
1968-09-11,1.78e-10
1968-09-12,1.78e-10
1968-09-13,1.79e-10
1968-09-16,1.8e-10
1968-09-17,1.81e-10
1968-09-18,1.86e-10
1968-09-19,1.9e-10
1968-09-20,1.9e-10
1968-09-23,1.88e-10
1968-09-24,1.88e-10
1968-09-25,1.85e-10
1968-09-26,1.85e-10
1968-09-27,1.85e-10
1968-09-30,1.86e-10
1968-10-01,1.86e-10
1968-10-02,1.86e-10
1968-10-03,1.85e-10
1968-10-04,1.83e-10
1968-10-07,1.83e-10
1968-10-08,1.81e-10
1968-10-09,1.79e-10
1968-10-10,1.78e-10
1968-10-11,1.77e-10
1968-10-14,1.79e-10
1968-10-15,1.78e-10
1968-10-16,1.78e-10
1968-10-17,1.77e-10
1968-10-18,1.77e-10
1968-10-21,1.77e-10
1968-10-22,1.78e-10
1968-10-23,1.79e-10
1968-10-24,1.79e-10
1968-10-25,1.8e-10
1968-10-28,1.81e-10
1968-10-29,1.82e-10
1968-10-30,1.81e-10
1968-10-31,1.8e-10
1968-11-01,1.77e-10
1968-11-04,1.77e-10
1968-11-05,1.74e-10
1968-11-06,1.73e-10
1968-11-07,1.76e-10
1968-11-08,1.79e-10
1968-11-11,1.81e-10
1968-11-12,1.81e-10
1968-11-13,1.8e-10
1968-11-14,1.81e-10
1968-11-18,1.82e-10
1968-11-19,1.83e-10
1968-11-20,1.84e-10
1968-11-21,1.84e-10
1968-11-22,1.84e-10
1968-11-25,1.83e-10
1968-11-26,1.83e-10
1968-11-27,1.83e-10
1968-11-28,1.81e-10
1968-11-29,1.81e-10
1968-12-02,1.8e-10
