IBOVESPA - 2007
Dia;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez

1;;44.815,01;43.516,91;;;53.422,67;;54.233,87;;62.340,34;64.050,08;
2;45.382,61;44.997,83;42.369,84;45.597,48;49.471,54;;55.371,21;54.690,92;;62.017,12;;
3;44.445,29;;;46.288,16;50.218,22;;55.699,69;52.846,38;54.832,51;60.098,57;;63.199,85
4;44.019,77;;;46.553,93;50.597,79;53.242,68;55.696,47;;55.250,47;60.406,72;;63.481,53
5;42.245,16;45.286,17;41.179,16;46.646,57;;53.162,21;55.932,34;;54.407,83;62.318,72;62.959,55;64.927,96
6;;45.351,80;43.218,40;;;52.049,31;56.443,73;53.091,10;54.569,00;;64.503,43;65.790,81
7;;44.587,96;42.667,18;;50.281,73;;;53.802,48;;;63.500,62;65.638,54
8;42.829,93;44.891,94;43.465,83;;50.277,69;52.329,68;;55.241,37;;62.660,85;63.561,91;
9;42.006,78;44.284,40;44.133,42;46.854,71;51.300,13;;;53.430,84;;63.548,69;64.320,56;
10;42.335,67;;;47.174,07;50.234,68;;55.882,70;52.638,13;52.652,57;63.197,04;;65.445,96
11;42.670,32;;;46.939,19;50.902,38;52.776,84;56.356,13;;53.920,57;62.455,77;;64.512,26
12;43.094,97;43.934,75;44.249,23;47.346,56;;51.797,14;57.613,05;;53.882,71;;61.526,87;64.741,69
13;;45.197,45;42.749,38;47.926,23;;52.993,73;57.644,16;52.434,01;54.908,18;;62.927,03;62.860,99
14;;45.995,60;43.288,44;;50.510,76;53.712,89;;50.911,75;54.671,00;;64.630,87;62.444,97
15;42.919,17;45.955,07;43.278,19;;50.518,21;54.518,63;;49.285,30;;62.969,44;;
16;42.624,22;45.849,03;42.730,04;48.921,21;51.737,56;;57.374,40;48.015,55;;61.717,90;64.609,38;
17;42.735,48;;;48.755,48;51.631,47;;57.659,65;48.558,76;54.340,54;63.193,67;;59.828,21
18;42.477,92;;;48.709,84;52.077,68;54.730,44;57.555,85;;56.666,30;63.261,33;;61.096,28
19;43.427,64;;43.712,55;48.762,13;;54.643,72;58.124,57;;57.264,22;60.894,29;62.336,02;61.721,71
20;;;44.350,87;49.408,18;;54.029,24;57.442,74;49.206,36;56.906,44;;;61.716,20
21;;46.090,24;45.630,86;;52.423,45;54.656,88;;49.815,08;57.798,79;;60.581,54;63.097,71
22;43.553,30;46.452,26;45.424,18;;52.208,09;54.267,10;;51.744,56;;61.215,13;60.653,01;
23;44.177,20;46.015,79;45.532,53;49.162,09;51.812,50;;58.036,77;51.848,23;;62.697,14;60.970,90;
24;44.686,73;;;49.070,86;50.530,65;;55.794,57;52.997,56;58.719,37;62.624,81;;
25;;;;49.675,59;51.617,97;54.041,57;56.001,30;;58.857,78;62.341,49;;
26;44.412,35;46.207,40;45.644,56;49.067,69;;53.851,68;53.893,15;;59.714,83;64.275,58;59.069,17;64.288,26
27;;43.145,33;45.206,53;49.229,60;;54.143,07;52.922,23;53.078,15;61.052,44;;59.431,50;63.774,38
28;;43.892,31;44.484,10;;52.119,97;54.146,59;;51.645,33;60.465,06;;61.714,64;63.886,10
29;43.573,49;;45.355,13;;51.713,18;54.392,06;;52.734,64;;65.044,31;62.156,34;
30;44.044,23;;45.804,66;48.956,39;52.527,65;;54.572,61;52.857,84;;64.383,13;63.006,16;
31;44.641,60;;;;52.268,46;;54.182,50;54.637,24;;65.317,70;;
MÍNIMO;42.006,78;43.145,33;41.179,16;45.597,48;49.471,54;51.797,14;52.922,23;48.015,55;52.652,57;60.098,57;59.069,17;59.828,21
MÍNIMO;45.382,61;46.452,26;45.804,66;49.675,59;52.527,65;54.730,44;58.124,57;55.241,37;61.052,44;65.317,70;64.630,87;65.790,81
