IBOVESPA - 2016
Dia;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez

1;;40.570,03;44.121,79;50.561,52;;49.012,65;52.233,04;56.755,76;58.236,26;;63.326,41;59.506,54
2;;38.596,16;44.893,48;;53.561,53;49.887,24;;56.162,38;59.616,39;;;60.316,12
3;;39.588,81;47.193,39;;52.260,18;50.619,49;;57.076,91;;59.461,22;61.750,17;
4;42.141,03;40.821,73;49.084,86;48.779,98;52.552,79;;52.568,65;57.593,89;;59.339,22;61.598,39;
5;42.419,32;40.592,09;;49.053,61;51.671,04;;51.842,27;57.661,14;59.566,34;60.254,34;;59.831,72
6;41.773,14;;;48.096,24;51.717,82;50.431,80;51.901,80;;60.129,43;60.644,24;;61.088,24
7;40.694,72;;49.246,10;48.513,10;;50.487,85;52.014,65;;;61.108,98;64.051,65;61.414,40
8;40.612,20;;49.102,13;50.292,92;;51.629,29;53.140,74;57.635,42;60.231,65;;64.157,67;60.676,56
9;;;48.665,09;;50.990,06;51.118,46;;57.689,41;57.999,72;;63.258,26;60.500,61
10;;40.376,58;49.571,10;;53.070,90;49.422,15;;56.919,77;;61.668,33;61.200,95;
11;39.950,49;39.318,30;49.638,67;50.165,47;52.764,46;;53.960,11;58.299,57;;61.021,84;59.183,50;
12;39.513,82;39.808,04;;52.001,86;53.241,31;;54.256,40;58.298,40;58.586,11;;;59.178,61
13;38.944,44;;;53.149,84;51.804,30;49.660,79;54.598,28;;56.820,77;61.118,58;;59.280,57
14;39.500,10;;48.867,33;52.411,01;;48.648,29;55.480,86;;57.059,46;61.767,21;59.657,46;58.212,11
15;38.569,12;40.092,89;47.130,02;53.227,74;;48.914,74;55.578,23;59.145,97;57.909,48;;;58.396,16
16;;40.947,69;47.763,43;;51.802,92;49.411,61;;58.855,43;57.079,75;;60.759,31;58.389,04
17;;41.630,81;50.913,78;;50.839,44;49.533,84;;59.323,83;;62.696,10;59.770,47;
18;37.937,27;41.477,63;50.814,65;52.894,07;50.561,70;;56.484,21;59.166,01;;63.782,20;59.961,76;
19;38.057,01;41.543,40;;53.710,04;50.132,53;;56.698,06;59.098,92;57.350,37;63.505,60;;57.110,99
20;37.645,47;;;53.630,93;49.722,74;50.329,36;56.578,04;;57.736,45;63.837,85;;57.582,89
21;37.717,10;;51.171,54;;;50.837,80;56.641,48;;58.393,92;64.108,08;61.070,27;57.646,52
22;38.031,22;43.234,85;51.010,19;52.907,87;;50.156,30;57.002,08;57.781,24;58.994,16;;61.954,47;57.255,22
23;;42.520,94;49.690,04;;49.330,42;51.559,81;;58.020,03;58.697,00;;61.985,90;57.937,10
24;;42.084,55;49.657,39;;49.345,18;50.105,26;;57.717,88;;64.059,89;61.395,53;
25;;41.887,90;;51.861,71;49.482,85;;56.872,72;57.722,13;;63.866,20;61.559,07;
26;37.497,47;41.593,07;;53.082,50;;;56.782,75;57.716,24;58.053,53;63.825,68;;58.620,26
27;38.376,36;;;54.477,78;49.051,49;49.245,53;56.852,84;;58.382,48;64.249,50;;58.696,69
28;38.630,19;;50.838,22;54.311,96;;50.006,56;56.667,11;;59.355,76;64.307,63;62.855,49;59.781,63
29;40.405,99;42.793,86;51.154,99;53.910,50;;51.001,90;57.308,20;58.610,39;58.350,56;;60.986,51;60.227,28
30;;;51.248,92;;48.964,34;51.526,92;;58.575,42;58.367,04;;61.906,35;
31;;;50.055,27;;48.471,70;;;57.901,10;;64.924,51;;
MÍNIMO;37.497,47;38.596,16;44.121,79;48.096,24;48.471,70;48.648,29;51.842,27;56.162,38;56.820,77;59.339,22;59.183,50;57.110,99
MÍNIMO;42.419,32;43.234,85;51.248,92;54.477,78;53.561,53;51.629,29;57.308,20;59.323,83;60.231,65;64.924,51;64.157,67;61.414,40
