IBOVESPA - 2000
Dia;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez

1;;16.522,20;17.953,01;;;15.450,04;;16.289,87;17.577,42;;14.791,19;13.437,49
2;;16.868,46;18.015,50;;15.524,13;16.222,48;;16.314,47;;15.559,30;;
3;16.930,42;17.457,12;18.631,73;17.245,47;15.108,56;;17.088,54;16.720,76;;15.633,27;14.533,96;
4;15.851,00;17.932,47;;16.757,93;14.969,59;;17.279,21;16.761,25;17.613,17;15.876,39;;13.510,00
5;16.245,14;;;16.714,37;15.217,86;16.022,93;17.134,93;;17.424,97;16.362,05;;14.181,62
6;16.106,89;;;17.146,13;;15.946,63;17.348,07;;17.589,66;15.945,91;14.800,91;13.945,41
7;16.309,15;18.125,60;;17.513,72;;16.271,74;17.598,83;16.995,80;;;14.968,75;14.459,98
8;;18.685,58;18.282,93;;14.890,96;16.398,80;;16.884,77;17.433,17;;14.656,30;14.982,99
9;;18.361,39;18.650,46;;14.581,52;16.342,28;;16.533,67;;15.855,31;14.524,38;
10;17.022,13;18.603,81;18.280,35;16.783,32;14.433,81;;17.471,63;16.834,80;;15.747,09;14.625,95;
11;16.572,72;18.083,46;;16.539,35;14.498,54;;16.880,66;17.395,00;17.287,65;15.526,05;;15.187,95
12;16.616,87;;;16.323,36;14.458,94;16.096,70;17.053,38;;16.882,69;;;14.906,02
13;17.298,07;;17.594,82;15.500,81;;16.354,47;16.444,25;;16.998,51;15.385,08;14.371,81;15.290,51
14;17.657,95;17.819,01;17.221,88;14.794,34;;16.366,10;16.880,95;17.810,63;16.768,53;;14.540,27;15.259,00
15;;17.920,73;17.381,60;;15.055,53;16.561,37;;17.744,13;16.563,18;;;14.987,95
16;;18.112,47;17.642,22;;15.360,40;16.424,93;;17.330,77;;15.241,85;14.489,96;
17;18.053,22;17.979,41;17.511,24;14.815,68;14.870,53;;17.387,88;17.702,52;;14.870,13;14.323,22;
18;17.903,23;17.625,02;;15.408,40;14.626,69;;17.368,59;17.313,69;15.913,13;14.420,72;;15.082,75
19;17.470,24;;;14.926,15;14.326,63;16.850,03;16.927,55;;16.188,45;14.845,14;;15.336,11
20;17.176,73;;17.525,59;15.203,21;;16.843,58;17.203,62;;16.077,70;14.529,41;14.499,80;14.622,41
21;17.034,21;17.699,76;18.342,79;;;17.254,26;17.318,24;17.083,38;16.146,02;;14.783,73;14.505,45
22;;17.489,33;18.314,00;;13.891,24;;;17.224,43;16.353,09;;14.576,98;14.652,06
23;;17.833,39;18.331,05;;13.587,16;16.977,26;;17.450,44;;13.989,84;14.314,45;
24;16.971,73;17.775,79;18.674,53;14.794,23;14.166,40;;17.385,98;17.310,96;;13.799,19;14.335,50;
25;;17.786,82;;15.400,58;14.185,61;;17.049,42;17.642,67;16.318,55;13.665,31;;
26;17.105,26;;;15.446,36;14.542,26;16.744,80;17.121,30;;16.254,93;14.223,13;;14.794,58
27;17.081,16;;18.951,48;15.440,11;;16.512,93;16.948,73;;15.848,12;14.691,68;14.008,20;15.186,15
28;16.734,39;17.542,70;18.337,90;15.537,60;;16.842,29;16.485,69;17.460,33;16.013,69;;13.913,85;15.259,29
29;;17.660,20;18.053,36;;14.772,63;16.407,16;;17.354,89;15.928,39;;13.787,52;
30;;;17.646,77;;15.248,55;16.727,95;;17.414,28;;14.891,14;13.287,39;
31;16.388,27;;17.820,37;;14.956,61;;16.454,60;17.346,70;;14.867,23;;
MÍNIMO;15.851,00;16.522,20;17.221,88;14.794,23;13.587,16;15.450,04;16.444,25;16.289,87;15.848,12;13.665,31;13.287,39;13.437,49
MÍNIMO;18.053,22;18.685,58;18.951,48;17.513,72;15.524,13;17.254,26;17.598,83;17.810,63;17.613,17;16.362,05;14.968,75;15.336,11
