IBOVESPA - 2014
Dia;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez

1;;;;50.270,37;;;53.171,49;55.902,87;61.141,27;52.858,43;;52.276,58
2;50.341,25;;;51.701,05;52.980,31;51.605,83;53.028,78;;61.895,98;53.518,57;;51.612,47
3;50.981,09;46.147,52;;51.408,21;;52.032,38;53.874,58;;61.837,04;54.539,55;53.947,21;52.320,48
4;;46.964,22;;51.081,78;;51.832,98;54.055,90;56.616,33;60.800,02;;54.383,59;51.426,87
5;;46.624,39;46.589,00;;53.446,17;51.558,79;;56.202,10;60.681,98;;53.698,42;51.992,89
6;50.973,62;47.738,09;47.093,13;;53.779,74;53.128,66;;56.487,18;;57.115,90;52.637,06;
7;50.430,02;48.073,60;46.244,07;52.155,28;54.052,74;;53.801,83;56.188,05;;57.436,33;53.222,85;
8;50.576,64;;;51.629,07;53.422,37;;53.634,69;55.572,93;59.192,75;57.058,48;;50.274,07
9;49.321,68;;;51.185,40;53.100,34;54.273,16;;;58.676,34;57.267,53;;50.193,47
10;49.696,45;47.710,82;45.533,20;51.127,48;;54.604,34;54.592,75;;58.198,66;55.311,59;52.725,38;49.548,08
11;;48.462,79;45.697,62;51.867,29;;55.102,44;54.785,93;56.613,32;58.337,29;;52.474,27;49.861,81
12;;48.216,89;45.861,81;;54.052,90;;;56.442,34;56.927,81;;52.978,89;48.001,98
13;49.426,90;47.812,83;45.443,83;;53.907,46;54.806,64;;55.581,19;;57.956,53;51.846,03;
14;49.703,10;48.201,11;44.965,66;51.596,55;54.412,54;;55.743,98;55.780,41;;58.015,46;51.772,40;
15;50.105,37;;;50.454,35;53.855,54;;55.973,61;56.963,65;57.948,76;56.135,27;;47.018,68
16;49.696,28;;;51.200,56;53.975,76;54.629,55;55.717,36;;59.114,66;54.298,33;;47.007,51
17;49.181,86;47.576,33;45.117,80;52.111,85;;54.299,95;55.637,51;;59.108,19;55.723,79;51.256,99;48.713,64
18;;46.599,76;46.150,96;;;55.202,54;57.012,90;57.560,72;58.374,48;;52.061,86;48.495,70
19;;47.150,83;46.567,23;;53.353,10;;;58.449,29;57.788,70;;53.402,81;49.650,98
20;48.708,41;47.288,61;47.278,48;;52.366,19;54.638,19;;58.878,24;;54.302,57;;
21;48.542,07;47.380,24;47.380,94;;52.203,37;;57.633,92;58.992,11;;52.432,43;56.084,04;
22;49.299,66;;;51.976,86;52.806,22;;57.983,32;58.407,32;56.818,11;52.411,03;;50.120,86
23;48.320,64;;;51.569,69;52.626,41;54.210,05;57.419,96;;56.540,50;50.713,26;;50.889,81
24;47.787,38;47.393,50;47.993,42;51.817,45;;54.280,78;57.977,56;;56.824,42;51.940,73;55.406,91;
25;;46.715,91;48.180,14;51.399,35;;53.425,74;57.821,08;59.735,17;55.962,08;;55.560,81;
26;;46.599,21;47.965,61;;52.932,91;53.506,75;;59.821,45;57.212,38;;55.098,47;50.144,63
27;47.701,05;47.606,75;49.646,79;;52.173,98;53.157,30;;60.950,57;;50.503,66;54.721,32;
28;47.840,93;47.094,40;49.768,06;51.383,68;52.639,75;;57.695,72;60.290,87;;52.330,03;54.724,00;
29;47.556,78;;;51.838,61;52.239,34;;57.118,81;61.288,15;54.625,35;51.049,32;;50.593,82
30;47.244,26;;;51.626,69;51.239,34;53.168,22;56.877,97;;54.115,98;52.336,83;;50.007,41
31;47.638,99;;50.414,92;;;;55.829,41;;;54.628,60;;
MÍNIMO;47.244,26;46.147,52;44.965,66;50.270,37;51.239,34;51.558,79;53.028,78;55.572,93;54.115,98;50.503,66;51.256,99;47.007,51
MÍNIMO;50.981,09;48.462,79;50.414,92;52.155,28;54.412,54;55.202,54;57.983,32;61.288,15;61.895,98;58.015,46;56.084,04;52.320,48
