IBOVESPA - 2008
Dia;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez

1;;61.079,83;;62.774,85;;;63.396,19;57.630,35;55.162,14;49.798,65;;34.740,50
2;62.815,13;;;63.364,36;69.366,39;71.897,25;61.106,22;;54.404,41;46.145,10;;35.000,84
3;62.891,97;;64.490,46;64.175,05;;70.011,92;59.273,38;;53.527,01;44.517,32;38.249,44;35.296,70
4;61.036,61;;63.655,54;64.445,97;;68.673,14;59.365,35;55.609,07;51.408,54;;40.254,80;35.127,77
5;;;64.629,48;;70.174,88;71.209,12;;56.470,59;51.939,60;;37.785,66;35.347,39
6;;58.968,53;62.974,65;;70.195,27;69.785,87;;57.542,49;;42.100,79;36.361,91;
7;60.772,15;58.965,48;61.867,99;64.175,58;69.017,66;;59.088,20;57.017,55;;40.139,85;36.665,11;
8;62.080,73;59.075,98;;64.539,54;69.722,25;;59.535,95;56.584,40;50.717,97;38.593,54;;38.284,91
9;62.673,69;;;63.476,92;69.645,70;69.281,20;;;48.435,30;37.080,30;;37.968,11
10;63.515,48;;59.999,27;63.527,11;;67.774,94;60.252,74;;49.633,16;35.609,54;36.776,27;39.004,40
11;61.942,36;60.643,22;62.367,72;62.585,21;;66.794,76;60.148,26;54.720,25;51.270,40;;37.261,90;38.519,07
12;;61.805,47;62.176,58;;70.415,82;67.319,63;;54.502,97;52.392,86;;34.373,99;39.373,86
13;;62.590,65;62.279,71;;70.503,25;67.203,52;;54.573,18;;40.829,13;35.993,33;
14;62.187,78;61.818,99;61.990,99;62.153,45;70.026,62;;60.720,90;55.138,35;;41.569,03;35.789,10;
15;59.907,06;61.271,87;;62.618,39;71.492,36;;61.015,09;54.244,03;48.416,33;36.833,02;;38.320,19
16;58.777,45;;;64.151,94;72.766,93;67.284,61;62.056,47;;49.228,92;36.441,72;;39.993,46
17;57.036,85;;60.011,84;64.552,42;;68.437,50;60.108,72;;45.908,51;36.399,09;35.717,21;39.947,43
18;57.506,47;62.801,43;61.932,78;64.922,67;;67.090,45;59.988,10;53.326,54;48.422,75;;34.094,66;39.536,27
19;;62.296,54;58.827,36;;73.438,83;66.590,41;;53.638,69;53.055,38;;33.404,55;39.131,23
20;;63.747,49;58.987,31;;73.516,81;64.613,79;;55.377,15;;39.441,08;;
21;53.709,11;63.792,23;;;72.294,80;;60.771,79;55.934,69;;39.043,39;31.250,60;
22;56.097,18;64.608,78;;65.412,66;;;59.647,32;55.850,13;51.540,58;35.069,73;;37.618,50
23;54.234,82;;;64.947,54;71.451,80;64.640,45;59.420,86;;49.593,17;33.818,49;;36.470,78
24;57.463,31;;59.812,53;64.576,26;;64.167,77;57.434,37;;49.842,99;31.481,55;34.188,83;
25;;65.000,94;61.234,06;65.187,34;;65.853,34;57.199,14;54.477,25;51.828,46;;34.812,86;
26;;65.182,61;61.415,28;;71.628,74;63.946,92;;54.358,70;50.782,99;;36.469,61;36.864,13
27;;65.494,85;60.761,68;;70.992,06;64.321,11;;55.519,24;;29.435,11;36.212,65;
28;58.593,78;65.555,08;60.452,12;65.677,74;73.153,23;;56.869,02;56.382,22;;33.386,65;36.595,87;
29;59.529,58;63.489,30;;63.825,74;71.797,54;;58.042,87;55.680,41;46.028,06;34.845,21;;37.060,16
30;60.289,41;;;67.868,46;72.592,50;65.017,58;59.997,64;;49.541,27;37.448,77;;37.550,31
31;59.490,40;;60.968,07;;;;59.505,17;;;37.256,84;;
MÍNIMO;53.709,11;58.965,48;58.827,36;62.153,45;69.017,66;63.946,92;56.869,02;53.326,54;45.908,51;29.435,11;31.250,60;34.740,50
MÍNIMO;63.515,48;65.555,08;64.629,48;67.868,46;73.516,81;71.897,25;63.396,19;57.630,35;55.162,14;49.798,65;40.254,80;39.993,46
