IBOVESPA - 2010
Dia;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez

1;;66.571,74;67.227,93;71.136,34;;61.840,99;61.236,20;;67.072,53;70.229,35;71.560,93;69.345,85
2;;67.163,21;67.779,16;;;62.942,91;61.429,79;68.517,46;66.808,08;;;69.527,07
3;;67.108,56;67.641,34;;67.119,41;;;67.997,36;66.678,62;;71.904,77;69.766,09
4;70.045,08;63.934,01;67.814,71;;64.869,32;61.675,75;;68.272,00;;70.384,92;72.995,69;
5;70.239,82;62.762,70;68.846,50;71.289,68;64.914,17;;60.865,27;68.411,72;;71.283,11;72.606,58;
6;70.729,34;;;71.095,65;63.414,22;;62.064,75;68.094,76;66.747,30;70.541,37;;69.551,81
7;70.451,12;;;70.792,94;62.870,88;61.182,92;63.283,80;;;69.918,40;;69.337,64
8;70.262,70;63.153,09;68.575,47;71.784,78;;61.793,64;63.476,32;;66.407,28;70.808,80;72.657,37;68.174,92
9;;64.718,17;69.576,38;71.417,27;;61.478,61;;67.862,28;66.624,10;;71.679,47;67.879,46
10;;65.051,42;69.979,28;;65.452,68;63.048,80;;67.223,23;66.806,79;;71.638,38;68.341,83
11;70.433,49;66.128,94;69.884,61;;64.424,89;63.605,38;;65.790,29;;70.946,49;71.195,16;
12;70.075,78;65.854,97;69.341,38;70.614,36;65.223,63;;62.960,10;65.966,17;;;70.367,15;
13;70.385,47;;;70.792,40;64.788,22;;63.685,56;66.264,43;68.030,58;71.674,90;;69.126,32
14;69.801,42;;;71.034,85;63.412,47;63.532,85;63.479,46;;67.691,85;71.692,29;;68.742,97
15;68.978,30;;69.023,75;70.524,35;;64.442,27;63.489,37;;68.106,85;71.830,18;;67.870,14
16;;;69.942,21;69.421,35;;64.750,71;62.339,27;66.701,89;67.662,99;;69.192,41;67.306,39
17;;67.284,57;69.723,24;;62.866,26;64.540,91;;67.583,77;67.089,12;;69.708,63;67.981,22
18;69.400,93;67.836,08;69.697,33;;60.841,08;64.437,58;;67.638,38;;71.735,53;70.781,40;
19;69.908,59;67.597,43;68.828,98;69.097,58;59.689,32;;63.297,04;66.887,13;;69.863,58;70.897,90;
20;68.200,07;;;69.318,44;58.192,08;;64.462,50;66.677,16;68.190,46;70.404,68;;67.263,60
21;66.270,14;;;;60.259,33;64.829,03;64.476,84;;67.719,13;69.652,10;;68.214,86
22;66.220,04;67.184,16;69.041,73;69.386,41;;64.810,62;65.748,10;;68.325,18;69.529,73;69.632,50;68.470,76
23;;66.108,33;69.386,72;69.509,49;;65.160,33;66.322,99;65.981,86;68.794,32;;67.952,55;68.485,96
24;;65.794,77;68.913,40;;59.915,14;63.936,70;;65.156,36;68.196,48;;69.629,36;
25;;66.121,04;68.441,66;;59.184,08;64.823,83;;64.803,43;;69.580,28;69.361,63;
26;65.523,73;66.503,27;68.682,66;68.871,94;60.190,36;;66.443,26;63.867,48;;70.740,39;68.226,10;
27;65.069,79;;;66.511,10;62.091,77;;66.674,44;65.585,14;68.815,97;70.568,94;;67.803,16
28;65.587,81;;;66.655,71;61.946,99;64.225,22;66.808,25;;69.227,63;70.320,13;;68.040,94
29;65.401,77;;69.939,12;67.978,05;;61.977,91;66.953,83;;69.228,24;70.673,30;67.908,18;68.952,42
30;;;69.959,58;67.529,73;;60.935,90;67.515,40;64.260,79;69.429,78;;67.705,40;69.304,81
31;;;70.371,54;;63.046,51;;;65.145,45;;;;
MÍNIMO;65.069,79;62.762,70;67.227,93;66.511,10;58.192,08;60.935,90;60.865,27;63.867,48;66.407,28;69.529,73;67.705,40;67.263,60
MÍNIMO;70.729,34;67.836,08;70.371,54;71.784,78;67.119,41;65.160,33;67.515,40;68.517,46;69.429,78;71.830,18;72.995,69;69.766,09
