IBOVESPA - 2005
Dia;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez

1;;24.149,46;27.729,98;26.773,83;;25.948,83;25.311,44;26.298,07;27.962,19;;30.899,71;32.617,18
2;;24.605,36;28.199,70;;24.704,60;26.639,83;;26.788,54;28.319,11;;;32.832,45
3;25.722,01;24.873,63;28.668,40;;24.715,63;26.365,62;;26.714,07;;31.856,13;31.099,97;
4;24.848,04;25.731,94;29.197,19;26.406,75;25.474,47;;25.044,53;26.469,90;;31.283,83;30.887,50;
5;24.691,80;;;26.038,44;25.435,82;;24.674,77;26.517,92;28.522,00;30.163,52;;32.701,17
6;24.366,93;;;25.695,05;25.589,20;25.556,26;24.516,86;;28.854,92;29.227,40;;33.223,42
7;24.747,22;;29.455,42;26.307,83;;25.026,10;24.449,51;;;29.972,99;30.952,24;32.756,79
8;;;29.021,20;25.884,63;;24.701,50;24.422,91;26.711,19;28.828,06;;30.970,60;32.480,04
9;;26.313,50;28.514,46;;25.464,75;24.483,55;;27.291,44;29.307,91;;30.666,07;32.921,76
10;24.291,89;26.415,79;28.567,49;;24.762,71;24.950,95;;27.116,92;;30.277,22;30.724,60;
11;24.369,87;26.670,52;28.074,91;25.899,73;24.698,66;;25.015,58;26.633,12;;30.614,23;30.510,89;
12;24.509,60;;;26.206,21;24.117,27;;25.536,25;26.950,74;29.086,48;;;32.970,60
13;24.805,74;;;26.066,11;23.887,44;24.901,83;25.855,91;;28.873,30;29.880,04;;33.419,65
14;24.924,13;26.531,89;28.098,89;24.984,00;;25.744,24;25.919,95;;29.049,99;29.770,22;30.218,88;33.629,47
15;;26.610,12;27.587,71;24.655,85;;25.481,38;25.221,53;27.375,02;29.366,24;;;33.193,27
16;;26.384,08;27.826,71;;24.378,50;25.750,53;;27.080,10;29.815,83;;30.482,12;33.291,82
17;24.515,22;27.090,91;28.085,83;;24.412,76;26.092,88;;27.416,12;;30.241,61;31.087,00;
18;24.089,19;26.756,25;27.593,25;24.877,04;24.898,12;;25.321,08;26.899,74;;29.067,91;31.102,37;
19;24.271,23;;;25.566,17;24.829,01;;25.270,60;26.643,77;30.076,02;29.297,11;;33.005,27
20;23.609,97;;;25.062,44;24.522,41;26.045,50;25.704,76;;30.058,99;28.344,08;;33.066,53
21;23.818,37;26.853,05;27.411,34;;;25.721,68;25.842,37;;30.837,29;29.175,79;31.110,07;33.517,05
22;;26.740,06;26.618,06;24.767,06;;25.678,25;25.391,23;27.260,68;30.678,43;;31.489,01;33.512,86
23;;27.198,46;26.248,27;;24.214,89;24.815,58;;26.769,28;31.294,11;;31.942,56;33.331,26
24;24.197,72;28.436,17;26.701,88;;24.545,24;24.916,91;;26.712,38;;29.834,99;31.944,73;
25;;28.425,04;;25.231,50;24.478,42;;24.530,79;27.401,63;;29.498,03;31.919,66;
26;24.530,16;;;25.304,75;;;24.868,47;27.094,61;31.141,20;29.729,97;;33.297,52
27;24.029,70;;;25.241,70;25.255,48;25.225,77;25.337,82;;30.874,94;29.132,52;;33.370,73
28;23.968,09;28.139,13;26.257,32;24.439,71;;25.261,04;26.068,37;;31.317,24;29.318,18;31.357,55;33.138,48
29;;;25.842,08;24.843,70;;25.126,36;26.042,36;27.384,83;31.208,82;;31.651,55;33.455,94
30;;;26.469,78;;25.424,22;25.051,21;;27.603,74;31.583,79;;31.916,76;
31;24.350,62;;26.610,65;;25.207,07;;;28.044,83;;30.193,51;;
MÍNIMO;23.609,97;24.149,46;25.842,08;24.439,71;23.887,44;24.483,55;24.422,91;26.298,07;27.962,19;28.344,08;30.218,88;32.480,04
MÍNIMO;25.722,01;28.436,17;29.455,42;26.773,83;25.589,20;26.639,83;26.068,37;28.044,83;31.583,79;31.856,13;31.944,73;33.629,47
