IBOVESPA - 2015
Dia;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez

1;;;;52.321,76;;53.031,31;52.757,53;;45.477,06;45.313,27;;45.046,75
2;48.512,22;47.650,73;51.020,81;53.123,02;;54.236,43;53.106,18;;46.463,96;47.033,46;;44.914,53
3;;48.963,66;51.304,10;;;53.522,90;52.519,40;50.138,04;47.365,87;;48.053,66;46.393,26
4;;49.301,05;50.468,05;;57.353,98;;;50.058,48;46.497,72;;47.710,09;45.360,75
5;47.516,82;49.233,85;50.365,20;;58.051,61;52.973,37;;50.287,27;;47.598,06;48.046,75;
6;48.000,92;48.792,27;49.981,19;53.737,26;57.103,14;;52.149,37;50.011,32;;47.735,11;46.918,51;
7;49.462,91;;;53.729,16;56.921,39;;52.343,71;48.577,32;;48.914,32;;45.222,69
8;49.943,30;;;53.661,11;57.149,33;52.809,63;51.781,74;;46.762,07;49.106,55;;44.443,25
9;48.840,25;49.382,58;49.181,01;53.802,66;;52.815,99;;;46.657,09;49.338,41;46.194,92;46.108,02
10;;48.510,28;48.293,40;54.214,11;;53.876,44;52.590,72;49.353,00;46.503,99;;46.206,56;45.630,70
11;;48.239,67;48.905,58;;57.197,10;53.688,51;;49.072,34;46.400,50;;47.065,01;45.262,72
12;48.139,74;49.532,72;48.880,40;;56.792,05;53.347,53;;48.388,04;;;46.883,57;
13;48.041,67;50.635,92;48.595,81;54.239,77;56.372,04;;53.119,47;48.009,56;;47.362,63;46.517,03;
14;47.645,87;;;53.981,92;56.656,57;;53.239,17;47.508,40;47.281,51;46.710,43;;44.747,31
15;48.026,31;;;54.918,74;57.248,63;53.137,53;52.902,28;;47.364,06;47.161,15;;44.872,46
16;49.016,52;;48.848,21;54.674,21;;53.702,15;53.069,75;;48.553,09;47.236,10;46.846,87;45.015,84
17;;;50.285,12;53.954,79;;53.248,54;52.341,80;47.217,42;48.551,07;;47.247,80;45.261,47
18;;51.280,36;51.526,19;;56.204,23;54.238,59;;47.450,58;47.264,08;;47.435,57;43.910,59
19;47.758,01;51.294,03;50.953,53;;55.498,82;53.749,41;;46.588,39;;47.447,31;48.138,88;
20;47.876,66;51.237,70;51.966,58;53.761,27;54.901,02;;51.600,07;46.649,23;;47.076,55;;
21;49.224,08;;;;55.112,05;;51.474,28;45.719,64;46.590,19;47.025,86;;43.199,95
22;49.442,62;;;54.617,36;54.377,29;53.863,67;50.915,78;;46.264,60;47.772,14;;43.469,51
23;48.775,30;51.280,64;51.908,46;55.684,85;;53.772,43;49.806,62;;45.340,11;47.596,58;48.150,27;44.014,93
24;;51.874,17;51.506,07;56.594,22;;53.842,53;49.245,84;44.336,47;45.291,96;;48.284,18;
25;;51.811,02;51.858,30;;54.609,25;53.175,66;;44.544,85;44.831,46;;46.866,63;
26;48.576,55;51.760,54;50.579,85;;53.629,78;54.016,97;;46.038,07;;47.209,32;47.145,63;
27;48.591,23;51.583,09;50.094,66;55.534,50;54.236,25;;48.735,54;47.715,27;;47.042,94;45.872,91;
28;47.694,54;;;55.812,03;53.976,27;;49.601,59;47.153,86;43.956,62;46.740,84;;43.764,33
29;47.762,24;;;55.325,29;52.760,47;53.014,21;50.245,14;;44.131,82;45.628,35;;43.653,96
30;46.907,68;;51.243,45;56.229,38;;53.080,88;49.897,40;;45.059,34;45.868,81;45.120,36;43.349,96
31;;;51.150,16;;;;50.864,77;46.625,52;;;;
MÍNIMO;46.907,68;47.650,73;48.293,40;52.321,76;52.760,47;52.809,63;48.735,54;44.336,47;43.956,62;45.313,27;45.120,36;43.199,95
MÍNIMO;49.943,30;51.874,17;51.966,58;56.594,22;58.051,61;54.238,59;53.239,17;50.287,27;48.553,09;49.338,41;48.284,18;46.393,26
