data,valor
2001-07-01,1.6814
2001-08-01,1.711
2001-09-01,1.718
2001-10-01,1.7787
2001-11-01,1.7802
2001-12-01,1.7747
2002-01-01,1.5875
2002-02-01,1.5088
2002-03-01,1.5739
2002-04-01,1.7129
2002-05-01,1.7219
2002-06-01,1.7107
2002-07-01,1.7668
2002-08-01,1.7508
2002-09-01,1.7424
2002-10-01,1.761
2002-11-01,1.9776
2002-12-01,2.0005
2003-01-01,2.1599
2003-02-01,2.2233
2003-03-01,2.2152
2003-04-01,2.195
2003-05-01,2.1133
2003-06-01,2.026
2003-07-01,1.9708
2003-08-01,1.9751
2003-09-01,2.0032
2003-10-01,1.9974
2003-11-01,1.9931
2003-12-01,1.9984
2004-01-01,2.007
2004-02-01,2.0025
2004-03-01,1.9813
2004-04-01,1.9715
2004-05-01,1.9828060675971855
2004-06-01,2.0624254930670713
2004-07-01,2.1074048577349167
2004-08-01,2.1270532839367635
2004-09-01,2.1235538558980465
2004-10-01,2.161270048280145
2004-11-01,2.2309436463065793
2004-12-01,2.3171700795816714
2005-01-01,2.3116381348360937
2005-02-01,2.3040992848398942
2005-03-01,2.304654781657076
2005-04-01,2.313612199600476
2005-05-01,2.300375050881954
2005-06-01,2.278231239990849
2005-07-01,2.286753832463698
2005-08-01,2.2927071341138068
2005-09-01,2.4376473687531552
2005-10-01,2.4914143017219694
2005-11-01,2.501689459945677
2005-12-01,2.5088375065733586
2006-01-01,2.542387616401978
2006-02-01,2.552860976589261
2006-03-01,2.623560174899131
2006-04-01,2.6297774297342795
2006-05-01,2.618060727162928
2006-06-01,2.5886073294205443
2006-07-01,2.595144329282821
2006-08-01,2.5943671013386975
2006-09-01,2.5902959240996193
2006-10-01,2.5891808606807243
2006-11-01,2.5774395186961505
2006-12-01,2.571716360749148
2007-01-01,2.5637752020901647
2007-02-01,2.5518761979386415
2007-03-01,2.552921475684289
2007-04-01,2.5672605166500944
2007-05-01,2.5692326257019507
2007-06-01,2.555010127920929
2007-07-01,2.5349236096718477
2007-08-01,2.526728084882161
2007-09-01,2.5215132867936454
2007-10-01,2.5209830071032138
2007-11-01,2.5294590841271662
2007-12-01,2.5497352631855708
2008-01-01,2.547737882621422
2008-02-01,2.537641086694589
2008-03-01,2.541326743453097
2008-04-01,2.537112953083141
2008-05-01,2.5374621192694535
2008-06-01,2.5333175165919792
2008-07-01,2.536876535361562
2008-08-01,2.5424547524837027
2008-09-01,2.548219989798232
2008-10-01,2.5516544210907774
2008-11-01,2.55325213493347
2008-12-01,2.5558291522197294
2009-01-01,2.5526765014908417
2009-02-01,2.5540416820676124
2009-03-01,2.550821837968561
2009-04-01,2.5413692595323365
2009-05-01,2.530993111268604
2009-06-01,2.528705629196075
2009-07-01,2.53226718386346
2009-08-01,2.533861764705882
2009-09-01,2.5179271059487625
2009-10-01,2.5608218399572817
2009-11-01,2.578684185318816
2009-12-01,2.5821430191032255
2010-01-01,2.6110023564350042
2010-02-01,2.6397371934898315
2010-03-01,2.6160853767801564
2010-04-01,2.5954643116520932
2010-05-01,2.5924921522791786
2010-06-01,2.580244686253174
2010-07-01,2.579776049946527
2010-08-01,2.5839391574518054
2010-09-01,2.590382389796998
2010-10-01,2.6068805737988248
2010-11-01,2.622384794250282
2010-12-01,2.6324400944324218
2011-01-01,2.645238505598844
2011-02-01,2.651252436710931
2011-03-01,2.6928117072275617
2011-04-01,2.8420034690366975
2011-05-01,2.8669331190023866
2011-06-01,2.7739936232350026
2011-07-01,2.767156155724752
2011-08-01,2.7667780757392033
2011-09-01,2.7732527158537965
2011-10-01,2.777956078391082
2011-11-01,2.7775262446094566
2011-12-01,2.780853580947468
2012-01-01,2.7753895712183
2012-02-01,2.769140876317249
2012-03-01,2.7709644178362653
2012-04-01,2.7692744832260248
2012-05-01,2.7663853659678024
2012-06-01,2.762338214141879
2012-07-01,2.75932549177644
2012-08-01,2.7591137280416396
2012-09-01,2.757370815326995
2012-10-01,2.762849449981196
2012-11-01,2.7714952903135104
2012-12-01,2.778588220607002
2013-01-01,2.7886498213860444
2013-02-01,2.9130865739672283
2013-03-01,2.9128268182211583
2013-04-01,2.9039178183298975
2013-05-01,2.8975556476040074
2013-06-01,2.883512589980053
2013-07-01,2.8749858077050656
2013-08-01,2.871866385846672
2013-09-01,2.8708956207312175
2013-10-01,2.870305261857707
2013-11-01,2.874895383814427
2013-12-01,2.973390974601895
2014-01-01,2.984415875437258
2014-02-01,2.9855280866342366
2014-03-01,3.0060085320498797
2014-04-01,3.0144801954795355
2014-05-01,3.070183148991542
2014-07-01,2.9898122819430553
2014-08-01,2.9890892043310404
2014-09-01,2.9932496710526317
2014-10-01,2.9915472878447935
2014-11-01,3.0358207541671525
2014-12-01,3.0603362419875544
2015-01-01,3.0612501452812646
2015-02-01,3.3197064761289945
2015-03-01,3.3464052822848953
2015-04-01,3.3383071721806328
2015-05-01,3.3301060726832583
2015-06-01,3.3306648204350022
2015-07-01,3.3279618791651813
2015-08-01,3.321231133442845
2015-09-01,3.311697217068646
2015-10-01,3.5167903135104734
2015-11-01,3.613132657064395
2015-12-01,3.668903986616069
2016-01-01,3.7168795360688867
2016-02-01,3.7437055378276853
2016-03-01,3.7725593553756527
2016-04-01,3.761247636635449
2016-05-01,3.7258674648581067
2016-06-01,3.6976076562752382
2016-07-01,3.6943141585118573
2016-08-01,3.696514584381062
2016-09-01,3.6904391714396447
2016-10-01,3.709128278454122
2016-11-01,3.722641819645115
2016-12-01,3.775525041987856
2017-01-01,3.8143074356349294
2017-02-01,3.792186532052539
2017-03-01,3.7387964467755044
2017-04-01,3.6833892313110854
2017-05-01,3.6672129300977905
2017-06-01,3.601627112118749
2017-07-01,3.60698267527912
2017-08-01,3.8149655613964146
2017-09-01,3.9004421170450914
2017-10-01,3.923141286671437
2017-11-01,4.029326670830731
2017-12-01,4.111555883290817
2018-01-01,4.2199243229470005
2018-02-01,4.237375879135191
2018-03-01,4.2310144434299
2018-04-01,4.2573371915093965
2018-05-01,4.348679839660457
2018-06-01,4.584870556702843
2018-07-01,4.5355821526418785
2018-08-01,4.488535563592525
2018-09-01,4.655191591409929
