24/03/2022;Beta 1;Beta 2;Beta 3;Beta 4;Lambda 1;Lambda 2
PREFIXADOS;0.126736594000767;-1.50285750424123E-02;9.55603282189117E-02;-8.43580659161508E-02;1.65219259990791;0.729488717460781
IPCA;5.83139719450246E-02;-5.25791067349054E-02;4.72442238278606E-02;-2.28786259084192E-02;4.23016469758303;0.660891424000979

Term Structure and Break Even Inflation (IPCA)
Business Day;Indexed;Prefixed;BEI
126;4.7355;12.7605;7.6621
252;5.1456;12.8616;7.3383
378;5.1367;12.5449;7.0462
504;5.1081;12.1936;6.7411
630;5.0998;11.9212;6.4904
756;5.1093;11.7426;6.3108
882;5.1305;11.6422;6.1939
1,008;5.1586;11.5988;6.1242
1,134;5.1903;11.5937;6.0874
1,260;5.2232;11.6130;6.0726
1,386;5.2560;11.6468;6.0716
1,512;5.2877;11.6883;6.0791
1,638;5.3178;11.7333;6.0915
1,764;5.3460;11.7789;6.1064
1,890;5.3723;11.8236;6.1223
2,016;5.3966;11.8662;6.1383
2,142;5.4190;11.9064;6.1539
2,268;5.4397;11.9440;6.1687
2,394;5.4587;11.9789;6.1827
2,520;5.4761;12.0111;6.1957
2,646;5.4922;12.0410;6.2078
2,772;5.5070;;
2,898;5.5207;;
3,024;5.5333;;
3,150;5.5450;;
3,276;5.5558;;
3,402;5.5659;;
3,528;5.5753;;
3,654;5.5841;;
3,780;5.5923;;
3,906;5.6000;;
4,032;5.6072;;
4,158;5.6139;;
4,284;5.6203;;
4,410;5.6263;;
4,536;5.6320;;
4,662;5.6374;;
4,788;5.6425;;
4,914;5.6474;;
5,040;5.6520;;
5,166;5.6563;;
5,292;5.6605;;
5,418;5.6645;;
5,544;5.6683;;
5,670;5.6719;;
5,796;5.6754;;
5,922;5.6787;;
6,048;5.6819;;
6,174;5.6849;;
6,300;5.6878;;
6,426;5.6906;;
6,552;5.6934;;
6,678;5.6960;;
6,804;5.6985;;
6,930;5.7009;;
7,056;5.7032;;
7,182;5.7055;;
7,308;5.7076;;
7,434;5.7097;;
7,560;5.7118;;
7,686;5.7137;;
7,812;5.7156;;
7,938;5.7174;;
8,064;5.7192;;
8,190;5.7210;;
8,316;5.7226;;
8,442;5.7242;;
8,568;5.7258;;
8,694;5.7274;;
8,820;5.7288;;
8,946;5.7303;;
9,072;5.7317;;
9,198;5.7330;;
9,324;5.7344;;
9,450;5.7357;;
9,576;5.7369;;

PREFIXED (CIRCULAR 3,361)
Business Day;Rate (%p.y.)
21;11.6238
42;11.9842
63;12.2664
126;12.7605
252;12.8616
504;12.1936
756;11.7426
1,008;11.5988
1,260;11.6130
2,520;12.0111

BOND ERRORS
Bond;SELIC Code;Maturity;Error (%p.y.)
LTN;100000;04/01/2022;-0.4343
LTN;100000;07/01/2022;-0.0084
LTN;100000;10/01/2022;0.0441
LTN;100000;01/01/2023;0.0450
LTN;100000;04/01/2023;-0.0091
LTN;100000;07/01/2023;-0.0734
LTN;100000;01/01/2024;-0.0156
LTN;100000;04/01/2024;-0.0588
LTN;100000;07/01/2024;-0.0131
LTN;100000;01/01/2025;0.0155
LTN;100000;07/01/2025;-0.0751
NTN-F;950199;01/01/2023;0.0285
NTN-F;950199;01/01/2025;0.0891
NTN-F;950199;01/01/2027;0.0376
NTN-F;950199;01/01/2029;-0.0391
NTN-F;950199;01/01/2031;-0.0158
NTN-F;950199;01/01/2033;0.0245
NTN-B;760199;08/15/2022;0.0091
NTN-B;760100;03/15/2023;-0.0093
NTN-B;760199;05/15/2023;-0.0031
NTN-B;760199;08/15/2024;0.0053
NTN-B;760199;05/15/2025;-0.0045
NTN-B;760199;08/15/2026;0.0517
NTN-B;760199;05/15/2027;-0.0207
NTN-B;760199;08/15/2028;-0.0417
NTN-B;760199;08/15/2030;-0.0149
NTN-B;760199;08/15/2032;-0.0064
NTN-B;760199;05/15/2035;0.0434
NTN-B;760199;08/15/2040;0.0349
NTN-B;760199;05/15/2045;-0.0290
NTN-B;760199;08/15/2050;-0.0149
NTN-B;760199;05/15/2055;-0.0045
NTN-B;760199;08/15/2060;0.0080

