data,valor
19801201,99.25
19810101,99.67
19810201,103.07
19810301,101.03
19810401,103.27
19810501,103.0
19810601,103.41
19810701,104.78
19810801,105.85
19810901,107.88
19811001,99.52
19811101,96.89
19811201,95.62
19820101,95.86
19820201,96.29
19820301,97.68
19820401,96.61
19820501,98.65
19820601,101.64
19820701,101.84
19820801,102.75
19820901,102.41
19821001,101.19
19821101,101.22
19821201,104.79
19830101,108.0
19830201,110.38
19830301,113.63
19830401,115.03
19830501,114.67
19830601,120.24
19830701,127.94
19830801,134.69
19830901,146.35
19831001,156.78
19831101,161.9
19831201,164.01
19840101,166.51
19840201,170.57
19840301,174.59
19840401,182.22
19840501,189.03
19840601,189.55
19840701,188.62
19840801,189.25
19840901,193.05
19841001,197.27
19841101,205.97
19841201,215.26
19850101,221.27
19850201,225.28
19850301,228.93
19850401,224.88
19850501,219.36
19850601,214.76
19850701,216.44
19850801,224.26
19850901,222.43
19851001,222.95
19851101,233.02
19851201,242.23
19860101,250.23
19860201,256.08
19860301,238.65
19860401,215.44
19860501,198.38
19860601,178.52
19860701,156.8
19860801,137.33
19860901,117.25
19861001,100.13
19861101,85.17
19861201,79.66
19870101,77.84
19870201,77.71
19870301,97.39
19870401,133.27
19870501,179.4
19870601,230.27
19870701,254.63
19870801,259.14
19870901,280.55
19871001,315.35
19871101,353.27
19871201,363.41
19880101,386.67
19880201,399.9
19880301,405.18
19880401,405.99
19880501,389.19
19880601,398.54
19880701,456.52
19880801,545.24
19880901,662.99
19881001,761.78
19881101,858.09
19881201,980.21
19890101,1149.22
19890201,1160.88
19890301,1045.29
19890401,940.07
19890501,944.5
19890601,1001.44
19890701,1054.11
19890801,1169.15
19890901,1269.82
19891001,1424.12
19891101,1660.95
19891201,1972.91
19900101,2426.12
19900201,3701.29
19900301,6390.53
19900401,6821.31
19900501,6214.99
19900601,5385.43
19900701,4749.03
19900801,3993.62
19900901,3304.71
19901001,2685.74
19901101,2101.34
19901201,1620.97
19910101,1140.27
19910201,752.02
19910301,422.84
19910401,375.18
19910501,374.48
19910601,372.1
19910701,369.96
19910801,381.41
19910901,386.55
19911001,411.52
19911101,448.31
19911201,472.7
19920101,497.32
19920201,515.13
19920301,567.21
19920401,662.16
19920501,785.81
19920601,857.68
19920701,937.94
19920801,996.37
19920901,1081.7
19921001,1130.94
19921101,1104.2
19921201,1119.1
19930101,1161.79
19930201,1168.49
19930301,1229.71
19930401,1316.42
19930501,1348.52
19930601,1467.33
19930701,1581.7
19930801,1730.67
19930901,1893.13
19931001,2031.27
19931101,2258.68
19931201,2477.15
19940101,2693.84
19940201,3035.71
19940301,3417.39
19940401,3828.49
19940501,4331.19
19940601,4922.6
19940701,4005.08
19940801,3044.89
19940901,2253.15
19941001,1703.17
19941101,1267.54
19941201,916.46
19950101,631.54
19950201,426.83
19950301,274.78
19950401,169.05
19950501,91.79
19950601,33.03
19950701,27.45
19950801,26.36
19950901,25.69
19951001,24.21
19951101,22.59
19951201,22.41
19960101,21.97
19960201,21.99
19960301,20.55
19960401,19.17
19960501,17.49
19960601,16.26
19960701,14.84
19960801,14.21
19960901,13.26
19961001,12.02
19961101,10.75
19961201,9.56
19970101,9.39
19970201,8.82
19970301,8.99
19970401,8.58
19970501,7.71
19970601,7.02
19970701,6.08
19970801,5.59
19970901,5.5
19971001,5.42
19971101,5.27
19971201,5.22
19980101,4.73
19980201,4.69
19980301,4.52
19980401,3.85
19980501,3.95
19980601,3.41
19980701,3.06
19980801,2.55
19980901,2.27
19981001,2.05
19981101,1.76
19981201,1.65
19990101,1.65
19990201,2.24
19990301,3.02
19990401,3.35
19990501,3.14
19990601,3.32
19990701,4.57
19990801,5.69
19990901,6.25
19991001,7.5
19991101,8.65
19991201,8.94
20000101,8.85
20000201,7.86
20000301,6.92
20000401,6.77
20000501,6.47
20000601,6.51
20000701,7.06
20000801,7.86
20000901,7.77
20001001,6.65
20001101,5.99
20001201,5.97
20010101,5.92
20010201,6.27
20010301,6.44
20010401,6.61
20010501,7.04
20010601,7.35
20010701,7.05
20010801,6.41
20010901,6.46
20011001,7.19
20011101,7.61
20011201,7.67
20020101,7.62
20020201,7.51
20020301,7.75
20020401,7.98
20020501,7.77
20020601,7.66
20020701,7.51
20020801,7.46
20020901,7.93
20021001,8.45
20021101,10.93
20021201,12.53
20030101,14.47
20030201,15.85
20030301,16.57
20030401,16.77
20030501,17.24
20030601,16.57
20030701,15.43
20030801,15.07
20030901,15.14
20031001,13.98
20031101,11.02
20031201,9.3
20040101,7.71
20040201,6.69
20040301,5.89
20040401,5.26
20040501,5.15
20040601,6.06
20040701,6.81
20040801,7.18
20040901,6.7
20041001,6.86
20041101,7.24
20041201,7.6
20050101,7.41
20050201,7.39
20050301,7.54
20050401,8.07
20050501,8.05
20050601,7.27
20050701,6.57
20050801,6.02
20050901,6.04
20051001,6.36
20051101,6.22
20051201,5.69
20060101,5.7
20060201,5.51
20060301,5.32
20060401,4.63
20060501,4.23
20060601,4.03
20060701,3.97
20060801,3.84
20060901,3.7
20061001,3.26
20061101,3.02
20061201,3.14
20070101,2.99
20070201,3.02
20070301,2.96
20070401,3.0
20070501,3.18
20070601,3.69
20070701,3.74
20070801,4.18
20070901,4.15
20071001,4.12
20071101,4.19
20071201,4.46
20080101,4.56
20080201,4.61
20080301,4.73
20080401,5.04
20080501,5.58
20080601,6.06
20080701,6.37
20080801,6.17
20080901,6.25
20081001,6.41
20081101,6.39
20081201,5.9
20090101,5.84
20090201,5.9
20090301,5.61
20090401,5.53
20090501,5.2
20090601,4.8
20090701,4.5
20090801,4.36
20090901,4.34
20091001,4.17
20091101,4.22
20091201,4.31
20100101,4.59
20100201,4.83
20100301,5.17
20100401,5.26
20100501,5.22
20100601,4.84
20100701,4.6
20100801,4.49
20100901,4.7
20101001,5.2
20101101,5.63
20101201,5.91
20110101,5.99
20110201,6.01
20110301,6.3
20110401,6.51
20110501,6.55
20110601,6.71
20110701,6.87
20110801,7.23
20110901,7.31
20111001,6.97
20111101,6.64
20111201,6.5
20120101,6.22
20120201,5.84
20120301,5.24
20120401,5.1
20120501,4.99
20120601,4.92
20120701,5.2
20120801,5.24
20120901,5.28
20121001,5.45
20121101,5.53
20121201,5.84
20130101,6.15
20130201,6.31
20130301,6.59
20130401,6.49
20130501,6.5
20130601,6.7
20130701,6.27
20130801,6.09
20130901,5.86
20131001,5.84
20131101,5.77
20131201,5.91
20140101,5.59
20140201,5.68
20140301,6.15
20140401,6.28
20140501,6.37
20140601,6.52
20140701,6.5
20140801,6.51
20140901,6.75
20141001,6.59
20141101,6.56
20141201,6.41
20150101,7.14
20150201,7.7
20150301,8.13
20150401,8.17
20150501,8.47
20150601,8.89
20150701,9.56
20150801,9.53
20150901,9.49
20151001,9.93
20151101,10.48
20151201,10.67
20160101,10.71
20160201,10.36
20160301,9.39
20160401,9.28
20160501,9.32
20160601,8.84
20160701,8.74
20160801,8.97
20160901,8.48
20161001,7.87
20161101,6.99
20161201,6.29
20170101,5.35
20170201,4.76
20170301,4.57
20170401,4.08
20170501,3.6
20170601,3.0
20170701,2.71
20170801,2.46
20170901,2.54
20171001,2.7
20171101,2.8
20171201,2.95
20180101,2.86
20180201,2.84
20180301,2.68
20180401,2.76
20180501,2.86
20180601,4.39
20180701,4.48
20180801,4.19
20180901,4.53
20181001,4.56
20181101,4.05
20181201,3.75
20190101,3.78
20190201,3.89
20190301,4.58
20190401,4.94
20190501,4.66
20190601,3.37
20190701,3.22
20190801,3.43
20190901,2.89
20191001,2.54
20191101,3.27
20191201,4.31
20200101,4.19
20200201,4.01
20200301,3.3
20200401,2.4
20200501,1.88
20200601,2.13
20200701,2.31
20200801,2.44
20200901,3.14
20201001,3.92
20201101,4.31
20201201,4.52
20210101,4.56
20210201,5.2
20210301,6.1
20210401,6.76
20210501,8.06
20210601,8.35
20210701,8.99
20210801,9.68
20210901,10.25
20211001,10.67
20211101,10.74
20211201,10.06
20220101,10.38
20220201,10.54
20220301,11.3
20220401,12.13
20220501,11.73
