dias,valor
3,9.15
4,9.16
7,9.96
14,10.22
18,10.27
19,10.28
21,10.31
27,10.35
28,10.36
33,10.36
42,10.59
46,10.64
48,10.68
49,10.70
54,10.75
60,10.80
61,10.81
62,10.83
63,10.84
75,11.00
80,11.03
90,11.13
91,11.14
94,11.16
108,11.34
115,11.42
122,11.49
123,11.50
124,11.51
133,11.59
138,11.62
140,11.63
150,11.68
152,11.69
153,11.70
154,11.71
166,11.77
168,11.78
174,11.81
180,11.84
181,11.84
182,11.85
185,11.85
199,11.92
201,11.94
210,11.98
214,11.99
215,12.00
216,12.00
230,12.05
231,12.05
237,12.07
241,12.08
245,12.09
248,12.10
258,12.13
262,12.14
270,12.17
273,12.18
276,12.18
277,12.19
292,12.21
300,12.22
306,12.23
307,12.23
320,12.24
322,12.24
327,12.24
332,12.24
334,12.24
335,12.24
339,12.25
353,12.24
360,12.24
383,12.24
384,12.24
390,12.24
395,12.24
396,12.24
397,12.24
411,12.24
419,12.24
420,12.24
427,12.24
430,12.24
439,12.23
444,12.23
451,12.22
454,12.22
472,12.21
480,12.20
502,12.19
503,12.19
510,12.18
517,12.18
521,12.18
535,12.14
542,12.13
564,12.08
565,12.08
570,12.07
581,12.04
595,12.02
600,12.01
601,12.01
612,11.99
626,11.96
628,11.95
630,11.94
657,11.88
661,11.87
684,11.82
690,11.80
704,11.78
717,11.76
720,11.75
747,11.72
748,11.72
752,11.71
780,11.68
794,11.66
808,11.64
810,11.63
838,11.59
840,11.58
871,11.54
885,11.52
900,11.51
930,11.49
962,11.47
977,11.46
986,11.45
990,11.44
1020,11.40
1025,11.40
1050,11.37
1070,11.35
1081,11.35
1110,11.34
1116,11.33
1140,11.33
1159,11.32
1172,11.31
1190,11.31
1200,11.30
1203,11.30
1250,11.28
1295,11.30
1342,11.32
1389,11.29
1435,11.26
1440,11.26
1482,11.31
1524,11.35
1568,11.37
1615,11.39
1662,11.38
1707,11.37
1753,11.35
1802,11.33
1844,11.33
1935,11.34
1980,11.34
2026,11.34
2118,11.35
2160,11.35
2166,11.35
2209,11.36
2299,11.39
2348,11.40
2391,11.42
2484,11.44
2520,11.45
2531,11.45
2575,11.45
2664,11.45
2712,11.45
2742,11.44
2756,11.44
2849,11.44
2880,11.44
2896,11.44
2940,11.44
2985,11.45
3029,11.45
3076,11.45
3121,11.45
3216,11.46
3240,11.46
3261,11.46
3307,11.46
3394,11.46
3486,11.47
3580,11.47
3601,11.47
3671,11.47
3762,11.48
3853,11.48
3945,11.48
3960,11.48
3993,11.48
4036,11.48
4126,11.49
4217,11.49
4310,11.50
4322,11.50
4401,11.50
4490,11.51
4582,11.51
4675,11.52
4680,11.52
4722,11.52
4766,11.52
4855,11.53
4947,11.53
5040,11.53
5087,11.54
5131,11.55
5221,11.57
5313,11.59
5400,11.60
5407,11.61
5453,11.61
5500,11.62
5582,11.64
5586,11.64
5680,11.66
5771,11.67
5862,11.69
5953,11.70
6044,11.72
6136,11.73
6227,11.75
6317,11.76
6408,11.77
6501,11.79
6592,11.80
6682,11.81
6774,11.82
6867,11.84
6958,11.85
7047,11.86
7139,11.87
7200,11.88
7234,11.88
7327,11.89
7412,11.90
7504,11.91
7598,11.92
7689,11.93
7777,11.94
7871,11.95
7962,11.95
8053,11.96
8144,11.97
8235,11.98
8328,11.99
8419,11.99
8508,12.00
8600,12.01
8784,12.02
8965,12.04
9000,12.04
9149,12.05
9330,12.06
9518,12.07
9698,12.09
9880,12.10
10062,12.11
10245,12.12
10426,12.13
10800,12.15
12162,12.21
14080,12.27
